theta_g,0.0t,0.1t,0.2t,0.4t,0.8t,1.2t,1.66t,2.11t,2.55t,3.01t,3.22t
0.1,,1248.9,1333.7,1593.1,1990.3,2413.7,2914.9,3310.7,3794.4,4279.2,4414.2
0.2,1060.8,1239.9,1364.9,1546.3,2038.2,2497.1,3013.9,3503.8,3906.3,4433,4954.4
0.3,1056,1280.1,1361.3,1574.4,2036.4,2523.5,3017.1,3583.8,4007.9,4568.1,4783.7
0.4,1025.7,1209.1,1316.6,1542.8,2057.3,2496.7,3125.8,3620.5,4061.3,4711.4,4909.8
0.5,1095.3,1210.4,133.8,1582.9,2082.1,2609.1,3158.6,3735.7,4133.5,4802.6,5011.3
0.6,1045.5,1188.5,1302.6,1618,2089.3,2577.8,3208.4,3790.1,4282.6,4935.1,5178.8
0.7,1018.9,1085.4,1255.3,1489,2083.5,2695.2,3180.7,3770.7,4342.5,4973.9,5275.9
