__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,acc_g,vel_g
1784879667.691543,8558.000000000,384.000000000,0.986996830,0.247066781,,
1784879667.701540,8569.000000000,388.000000000,0.986996830,0.247042820,,-0.002441988
1784879667.711605,8564.000000000,404.000000000,0.987020791,0.247042820,0.307662261,0.001194353
1784879667.721410,8529.000000000,387.000000000,0.987044752,0.247042820,0.244284330,0.002411836
1784879667.732095,8550.000000000,381.000000000,0.987020791,0.247042820,-0.058290414,0.000000000
1784879667.741699,8554.000000000,379.000000000,0.987020791,0.247090757,-0.177088540,-0.001181019
1784879667.751702,8573.000000000,406.000000000,0.986996830,0.247066781,-0.062324638,-0.001222033
1784879667.761527,8599.000000000,450.000000000,0.986972868,0.247066781,-0.062324497,-0.002416824
1784879667.772089,8482.000000000,337.000000000,0.987044752,0.247042820,0.175239372,0.002350602
1784879667.781519,8548.000000000,357.000000000,0.987044752,0.247042820,0.300750155,0.003595664
1784879667.791953,8482.000000000,346.000000000,0.987044752,0.247066781,-0.118339981,0.000000000
1784879667.801784,8550.000000000,383.000000000,0.987020791,0.247042820,-0.235773513,-0.001182367
1784879667.811903,8532.000000000,377.000000000,0.986996830,0.247066781,-0.120401911,-0.002402065
1784879667.821962,8558.000000000,422.000000000,0.987020791,0.247042820,0.058597984,0.000000000
1784879667.832067,8542.000000000,406.000000000,0.987044752,0.247042820,0.236994819,0.002376645
1784879667.842296,8569.000000000,410.000000000,0.987044752,0.247018844,0.057948196,0.001178347
1784879667.851956,8540.000000000,414.000000000,0.986996830,0.247066781,-0.240639665,-0.002409465
1784879667.862200,8525.000000000,391.000000000,0.987020791,0.247066781,-0.119686475,-0.001203852
1784879667.872201,8557.000000000,396.000000000,0.987020791,0.247066781,0.177470477,0.001183523
1784879667.882154,8544.000000000,392.000000000,0.987020791,0.247042820,0.060330760,0.000000000
1784879667.891747,8466.000000000,338.000000000,0.987044752,0.247042820,0.002168586,0.001225909
1784879667.901990,8515.000000000,369.000000000,0.987068713,0.247042820,0.121789349,0.002415865
1784879667.912259,8526.000000000,399.000000000,0.987020791,0.247042820,-0.116718129,-0.001168170
1784879667.921737,8544.000000000,408.000000000,0.987020791,0.247066781,-0.245244332,-0.002426862
1784879667.931728,8567.000000000,411.000000000,0.986972868,0.247066781,-0.066423140,-0.002461395
1784879667.941953,8553.000000000,392.000000000,0.987020791,0.247042820,0.120043841,0.000000000
1784879667.951892,8507.000000000,391.000000000,0.987020791,0.247042820,0.239928774,0.002376589
1784879667.961999,8528.000000000,363.000000000,0.987020791,0.247042820,0.000000000,0.000000000
1784879667.971953,8495.000000000,381.000000000,0.987020791,0.247066781,-0.118468019,0.000000000
1784879667.982016,8538.000000000,396.000000000,0.987020791,0.247066781,0.000000000,0.000000000
1784879667.991463,8575.000000000,435.000000000,0.986996830,0.247066781,-0.062953821,-0.001228186
1784879668.001718,8575.000000000,435.000000000,0.986996830,0.247066781,-0.061730231,-0.001216192
1784879668.011917,8499.000000000,380.000000000,0.987020791,0.247018844,0.117317774,0.001171452
1784879668.021543,8525.000000000,387.000000000,0.987020791,0.247066781,0.122304808,0.001208586
1784879668.031984,8526.000000000,389.000000000,0.987020791,0.247090757,-0.058377083,0.000000000
1784879668.041562,8537.000000000,399.000000000,0.986972868,0.247066781,-0.179956316,-0.002393883
1784879668.051631,8542.000000000,397.000000000,0.986996830,0.247042820,-0.062070782,-0.001219542
1784879668.061651,8526.000000000,400.000000000,0.987020791,0.247042820,0.237911598,0.002385502
1784879668.071438,8577.000000000,428.000000000,0.987020791,0.247042820,0.122648276,0.001209736
1784879668.081880,8544.000000000,392.000000000,0.987020791,0.247066781,-0.117924263,0.000000000
1784879668.091677,8601.000000000,442.000000000,0.987020791,0.247090757,-0.059773571,0.000000000
1784879668.101680,8480.000000000,301.000000000,0.986972868,0.247066781,-0.122232627,-0.002420258
1784879668.111364,8517.000000000,399.000000000,0.987020791,0.247042820,0.000000000,0.000000000
1784879668.121874,8552.000000000,406.000000000,0.987020791,0.247042820,0.237363903,0.002373081
1784879668.131943,8561.000000000,414.000000000,0.987020791,0.247066781,0.000000000,0.000000000
1784879668.141392,8542.000000000,397.000000000,0.987020791,0.247066781,-0.121584886,0.000000000
1784879668.151740,8534.000000000,415.000000000,0.986948907,0.247090757,-0.183401938,-0.003630912
1784879668.161695,8538.000000000,399.000000000,0.986972868,0.247042820,-0.116253237,-0.002360318
1784879668.171723,8515.000000000,363.000000000,0.986996830,0.247042820,0.301708163,0.002398139
1784879668.181779,8556.000000000,402.000000000,0.987020791,0.247042820,0.236341947,0.002386182
1784879668.191444,8478.000000000,363.000000000,0.987020791,0.247066781,-0.059993681,0.001215030
1784879668.201683,8560.000000000,407.000000000,0.987020791,0.247066781,-0.119882262,0.000000000
1784879668.211539,8489.000000000,361.000000000,0.986948907,0.247066781,-0.238474887,-0.003577149
1784879668.221402,8528.000000000,399.000000000,0.986948907,0.247042820,-0.184872872,-0.003645443
1784879668.231822,8546.000000000,404.000000000,0.987020791,0.247042820,0.351102920,0.003544098
1784879668.241472,8538.000000000,393.000000000,0.987020791,0.247066781,0.360071808,0.003581483
1784879668.251842,8537.000000000,419.000000000,0.987020791,0.247090757,-0.177019391,0.000000000
1784879668.261979,8480.000000000,342.000000000,0.986948907,0.247066781,-0.345594340,-0.003505406
1784879668.271453,8517.000000000,400.000000000,0.986948907,0.247066781,-0.186910271,-0.003665475
1784879668.281832,8552.000000000,431.000000000,0.986948907,0.247042820,0.176571310,0.000000000
1784879668.291462,8528.000000000,373.000000000,0.987020791,0.247042820,0.362755981,0.003592665
1784879668.301805,8545.000000000,427.000000000,0.987020791,0.247066781,0.180193485,0.003599012
1784879668.311675,8443.000000000,324.000000000,0.986972868,0.247066781,-0.295021649,-0.002370786
1784879668.321725,8498.000000000,356.000000000,0.986948907,0.247042820,-0.361818098,-0.003608531
1784879668.331582,8482.000000000,353.000000000,0.986948907,0.247042820,0.058629401,-0.001203665
1784879668.341702,8565.000000000,377.000000000,0.987020791,0.247042820,0.360760281,0.003598324
1784879668.351774,8558.000000000,422.000000000,0.987020791,0.247042820,0.235919527,0.003560000
1784879668.361569,8583.000000000,436.000000000,0.987020791,0.247066781,-0.181116840,0.000000000
1784879668.371794,8515.000000000,393.000000000,0.986948907,0.247066781,-0.357183890,-0.003590654
1784879668.381459,8556.000000000,411.000000000,0.986972868,0.247066781,-0.121142008,-0.002409436
1784879668.391606,8533.000000000,414.000000000,0.986948907,0.247066781,0.181228778,0.000000000
1784879668.401774,8558.000000000,431.000000000,0.987020791,0.247042820,0.234707305,0.002358850
1784879668.411878,8591.000000000,439.000000000,0.987020791,0.247066781,0.174921714,0.003545974
1784879668.422039,8489.000000000,357.000000000,0.986972868,0.247066781,-0.233103293,-0.002364845
1784879668.431514,8552.000000000,399.000000000,0.986948907,0.247042820,-0.367033566,-0.003660891
1784879668.441581,8502.000000000,334.000000000,0.986948907,0.247066781,0.058270040,-0.001226133
1784879668.451899,8501.000000000,387.000000000,0.987020791,0.247066781,0.352564668,0.003526233
1784879668.461826,8513.000000000,372.000000000,0.987020791,0.247066781,0.235947968,0.003550651
1784879668.471742,8580.000000000,414.000000000,0.987020791,0.247066781,-0.177701483,0.000000000
1784879668.481844,8502.000000000,367.000000000,0.986924946,0.247066781,-0.416549581,-0.004787880
1784879668.491726,8584.000000000,397.000000000,0.986972868,0.247066781,-0.119997172,-0.002398024
1784879668.501379,8503.000000000,381.000000000,0.986948907,0.247042820,0.307875046,0.001226552
1784879668.511695,8581.000000000,438.000000000,0.986948907,0.247042820,0.059998551,-0.001199928
1784879668.521445,8521.000000000,360.000000000,0.987020791,0.247042820,0.117412098,0.003582462
1784879668.531408,8506.000000000,369.000000000,0.987020791,0.247042820,0.245855556,0.003646545
1784879668.541392,8541.000000000,393.000000000,0.986972868,0.247066781,-0.300040777,-0.002402467
1784879668.551706,8541.000000000,393.000000000,0.986972868,0.247066781,-0.295954071,-0.002360873
1784879668.561677,8524.000000000,387.000000000,0.986972868,0.247066781,0.118432102,0.000000000
1784879668.571880,8550.000000000,397.000000000,0.986948907,0.247042820,0.058151710,-0.001187733
1784879668.581777,8544.000000000,384.000000000,0.987020791,0.247066781,0.118617645,0.002384200
1784879668.591617,8544.000000000,397.000000000,0.987044752,0.247066781,0.306216778,0.004856069
1784879668.601734,8510.000000000,360.000000000,0.987020791,0.247066781,-0.119467900,0.000000000
1784879668.611754,8587.000000000,431.000000000,0.986972868,0.247066781,-0.418413487,-0.003569653
1784879668.621579,8546.000000000,381.000000000,0.986996830,0.247066781,-0.060839088,-0.001207381
1784879668.631566,8513.000000000,375.000000000,0.987020791,0.247042820,0.302268938,0.002418860
1784879668.641699,8571.000000000,402.000000000,0.987020791,0.247066781,0.119202214,0.001190928
1784879668.651613,8499.000000000,344.000000000,0.987020791,0.247090757,-0.120664054,0.000000000
1784879668.661621,8569.000000000,389.000000000,0.986948907,0.247066781,-0.240907209,-0.003608315
1784879668.671765,8545.000000000,396.000000000,0.986972868,0.247066781,-0.118000977,-0.002377995
1784879668.681633,8540.000000000,384.000000000,0.986972868,0.247066781,0.240132753,0.001197312
1784879668.692122,8530.000000000,385.000000000,0.987020791,0.247042820,0.232444321,0.002354016
