__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,acc_g,vel_g
1784132608.357318,8074.000000000,395.000000000,0.291600168,-0.023105621,,
1784132608.367315,8054.000000000,375.000000000,0.291672081,-0.023081779,,0.003603859
1784132608.377336,8056.000000000,376.000000000,0.291672081,-0.023153305,0.179474632,0.003592570
1784132608.387353,8076.000000000,392.000000000,0.291624129,-0.023153305,-0.299269184,-0.002393006
1784132608.397324,8053.000000000,372.000000000,0.291624129,-0.023153305,-0.299753907,-0.002399000
1784132608.407307,8052.000000000,365.000000000,0.291624129,-0.023081779,0.119929214,0.000000000
1784132608.417272,8035.000000000,358.000000000,0.291600168,-0.023081779,0.060047326,-0.001201162
1784132608.427299,8029.000000000,332.000000000,0.291696042,-0.023081779,0.179924386,0.003597069
1784132608.437370,8034.000000000,383.000000000,0.291696042,-0.023153305,0.297119424,0.004770336
1784132608.447325,8040.000000000,384.000000000,0.291648120,-0.023153305,-0.299105067,-0.002392943
1784132608.457330,8068.000000000,375.000000000,0.291624129,-0.023105621,-0.419486457,-0.003602783
1784132608.467320,8073.000000000,372.000000000,0.291624129,-0.023105621,0.059669871,-0.001199859
1784132608.477384,8083.000000000,385.000000000,0.291672081,-0.023105621,0.298892037,0.002391157
1784132608.487398,8080.000000000,397.000000000,0.291672081,-0.023153305,0.178718025,0.002388346
1784132608.497369,8061.000000000,387.000000000,0.291672081,-0.023153305,-0.119650678,0.000000000
1784132608.507376,8062.000000000,395.000000000,0.291624129,-0.023153305,-0.239691978,-0.002400232
1784132608.517396,8048.000000000,372.000000000,0.291624129,-0.023129463,-0.119549210,-0.002394288
1784132608.527382,8040.000000000,333.000000000,0.291600168,-0.023105621,0.060108839,-0.001197683
1784132608.537303,8026.000000000,329.000000000,0.291696042,-0.023105621,0.301751537,0.003612535
1784132608.547297,8049.000000000,384.000000000,0.291672081,-0.023153305,0.241463072,0.003611021
1784132608.557382,8095.000000000,416.000000000,0.291600168,-0.023153305,-0.417706688,-0.004774754
1784132608.567306,8064.000000000,357.000000000,0.291624129,-0.023153305,-0.300246025,-0.002396542
1784132608.577302,8060.000000000,407.000000000,0.291648120,-0.023129463,0.360561520,0.002407328
1784132608.587347,8060.000000000,369.000000000,0.291672081,-0.023105621,0.238963474,0.002392636
1784132608.597314,8033.000000000,367.000000000,0.291672081,-0.023153305,-0.060463350,0.001197327
1784132608.607317,8074.000000000,396.000000000,0.291600168,-0.023153305,-0.300130304,-0.003601020
1784132608.617353,8056.000000000,392.000000000,0.291600168,-0.023153305,-0.238821574,-0.003588552
1784132608.627278,8115.000000000,408.000000000,0.291624129,-0.023153305,0.240537949,0.001200387
1784132608.637305,8054.000000000,387.000000000,0.291624129,-0.023129463,0.240046045,0.001200918
1784132608.647334,8021.000000000,310.000000000,0.291672081,-0.023129463,0.059363722,0.002390958
