__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,acc_g,vel_g
1784377858.649851,5402.000000000,367.000000000,1.146842360,0.277243078,,
1784377858.659959,5445.000000000,422.000000000,1.146698594,0.277243078,,-0.007200258
1784377858.669906,5390.000000000,372.000000000,1.146698594,0.277243078,-0.357436863,-0.007168501
1784377858.679803,5438.000000000,395.000000000,1.146722555,0.277243078,0.423684101,0.001207454
1784377858.690020,5383.000000000,379.000000000,1.146842360,0.277243078,0.711749977,0.007147599
1784377858.699963,5419.000000000,406.000000000,1.146818399,0.277267039,0.175929701,0.004754189
1784377858.709948,5418.000000000,375.000000000,1.146818399,0.277267039,-0.419002231,-0.001202369
1784377858.720072,5353.000000000,344.000000000,1.146698594,0.277243078,-0.532698668,-0.005957815
1784377858.729970,5390.000000000,329.000000000,1.146698594,0.277267039,-0.238798980,-0.005983639
1784377858.739908,5396.000000000,353.000000000,1.146698594,0.277267039,0.300350819,0.000000000
1784377858.750047,5381.000000000,376.000000000,1.146818399,0.277267039,0.595255282,0.005967296
1784377858.759939,5396.000000000,368.000000000,1.146818399,0.277267039,0.298601954,0.005981146
1784377858.770000,5410.000000000,365.000000000,1.146794438,0.277267039,-0.359272584,-0.001200932
1784377858.780120,5415.000000000,402.000000000,1.146698594,0.277243078,-0.590542571,-0.005936559
1784377858.789953,5443.000000000,430.000000000,1.146722555,0.277243078,-0.120356598,-0.003602495
1784377858.799933,5434.000000000,371.000000000,1.146722555,0.277243078,0.360666927,0.001209357
1784377858.810147,5435.000000000,415.000000000,1.146842360,0.277243078,0.472187571,0.005932774
1784377858.819962,5392.000000000,369.000000000,1.146818399,0.277243078,0.178535585,0.004785259
1784377858.830102,5368.000000000,342.000000000,1.146818399,0.277267039,-0.357487438,-0.001200774
1784377858.839864,5419.000000000,403.000000000,1.146698594,0.277243078,-0.542891508,-0.006019622
1784377858.850093,5420.000000000,363.000000000,1.146698594,0.277267039,-0.239700173,-0.005992773
1784377858.859922,5414.000000000,364.000000000,1.146842360,0.277243078,0.657491622,0.007167820
1784377858.869997,5402.000000000,387.000000000,1.146842360,0.277291000,0.663992802,0.007223114
1784377858.880032,5414.000000000,383.000000000,1.146818399,0.277267039,-0.415676674,-0.001191492
1784377858.889855,5404.000000000,391.000000000,1.146818399,0.277267039,-0.424509346,-0.001206642
1784377858.900002,5391.000000000,361.000000000,1.146698594,0.277267039,-0.240757872,-0.005999355
1784377858.909814,5388.000000000,371.000000000,1.146674633,0.277243078,-0.300423224,-0.007202924
1784377858.919766,5404.000000000,385.000000000,1.146722555,0.277267039,0.364882313,0.001212333
1784377858.930011,5403.000000000,361.000000000,1.146818399,0.277267039,0.709076624,0.007118236
1784377858.940028,5395.000000000,376.000000000,1.146818399,0.277243078,0.173611621,0.004730135
1784377858.949753,5412.000000000,385.000000000,1.146794438,0.277243078,-0.422041349,-0.001213709
1784377858.959794,5430.000000000,383.000000000,1.146698594,0.277243078,-0.545980420,-0.006061374
1784377858.970024,5419.000000000,388.000000000,1.146698594,0.277243078,-0.173366635,-0.004728077
1784377858.979830,5420.000000000,396.000000000,1.146698594,0.277243078,0.302517210,0.000000000
1784377858.989736,5419.000000000,380.000000000,1.146842360,0.277267039,0.609878068,0.007293531
1784377859.000026,5418.000000000,396.000000000,1.146818399,0.277243078,0.293743066,0.005932283
1784377859.010008,5415.000000000,365.000000000,1.146842360,0.277243078,-0.359778988,0.000000000
1784377859.019751,5434.000000000,372.000000000,1.146650672,0.277219087,-0.731808603,-0.008503052
1784377859.029825,5419.000000000,391.000000000,1.146698594,0.277243078,-0.366080501,-0.007254659
1784377859.040173,5342.000000000,310.000000000,1.146722555,0.277267039,0.588725695,0.003519894
1784377859.049797,5419.000000000,384.000000000,1.146818399,0.277267039,0.663625604,0.005998854
1784377859.060009,5380.000000000,376.000000000,1.146818399,0.277243078,0.066147634,0.004831963
1784377859.069741,5407.000000000,407.000000000,1.146818399,0.277267039,-0.300778419,0.000000000
1784377859.079786,5402.000000000,360.000000000,1.146674633,0.277267039,-0.611874648,-0.007269264
1784377859.090229,5434.000000000,388.000000000,1.146698594,0.277219087,-0.285421137,-0.005847647
1784377859.099801,5404.000000000,363.000000000,1.146722555,0.277267039,0.482816605,0.002394311
1784377859.110012,5423.000000000,375.000000000,1.146818399,0.277243078,0.601719626,0.006056041
1784377859.120015,5390.000000000,373.000000000,1.146818399,0.277267039,0.116122868,0.004741573
1784377859.130015,5426.000000000,410.000000000,1.146818399,0.277243078,-0.302744594,0.000000000
1784377859.139755,5404.000000000,373.000000000,1.146698594,0.277243078,-0.547662251,-0.006069207
1784377859.149769,5369.000000000,325.000000000,1.146674633,0.277219087,-0.368425988,-0.007277862
1784377859.160002,5361.000000000,317.000000000,1.146698594,0.277243078,0.299748007,0.000000000
1784377859.169791,5379.000000000,364.000000000,1.146818399,0.277243078,0.722124431,0.007180452
1784377859.180001,5400.000000000,384.000000000,1.146818399,0.277243078,0.299542477,0.005990558
1784377859.190067,5385.000000000,344.000000000,1.146794438,0.277219087,-0.412433478,-0.001181783
1784377859.200007,5412.000000000,399.000000000,1.146698594,0.277243078,-0.598763718,-0.005988416
1784377859.210020,5372.000000000,326.000000000,1.146698594,0.277243078,-0.181507183,-0.004803441
1784377859.220030,5415.000000000,377.000000000,1.146698594,0.277267039,0.299078838,0.000000000
1784377859.229735,5412.000000000,392.000000000,1.146818399,0.277243078,0.551876364,0.006076840
1784377859.239782,5437.000000000,392.000000000,1.146818399,0.277243078,0.307095782,0.006065617
1784377859.250148,5426.000000000,410.000000000,1.146818399,0.277267039,-0.297688805,0.000000000
1784377859.260035,5353.000000000,345.000000000,1.146698594,0.277267039,-0.591582227,-0.005915523
1784377859.269956,5412.000000000,375.000000000,1.146698594,0.277243078,-0.305360916,-0.006048460
1784377859.280082,5407.000000000,375.000000000,1.146722555,0.277267039,0.354705857,0.001195248
1784377859.290027,5426.000000000,396.000000000,1.146818399,0.277267039,0.598760578,0.005969139
1784377859.299769,5391.000000000,372.000000000,1.146818399,0.277243078,0.186568635,0.004868302
1784377859.309783,5406.000000000,381.000000000,1.146818399,0.277243078,-0.302134582,0.000000000
1784377859.320154,5398.000000000,354.000000000,1.146674633,0.277219087,-0.584795526,-0.007052632
1784377859.329979,5406.000000000,375.000000000,1.146698594,0.277243078,-0.293736130,-0.005932213
1784377859.339761,5395.000000000,376.000000000,1.146818399,0.277243078,0.733624058,0.007332109
1784377859.349734,5388.000000000,360.000000000,1.146818399,0.277243078,0.607271916,0.006064519
1784377859.359789,5420.000000000,408.000000000,1.146794438,0.277243078,-0.425848577,-0.001196429
1784377859.369866,5368.000000000,352.000000000,1.146794438,0.277243078,-0.360356155,-0.001190194
1784377859.380035,5402.000000000,367.000000000,1.146674633,0.277267039,-0.233171366,-0.005917334
1784377859.389743,5407.000000000,369.000000000,1.146674633,0.277243078,-0.243348287,-0.006027276
1784377859.399798,5387.000000000,357.000000000,1.146698594,0.277267039,0.360762917,0.001212421
1784377859.410241,5406.000000000,377.000000000,1.146842360,0.277243078,0.693231584,0.008182611
1784377859.419927,5422.000000000,381.000000000,1.146818399,0.277267039,0.235448754,0.005951817
1784377859.429868,5433.000000000,396.000000000,1.146794438,0.277243078,-0.541329190,-0.002441721
1784377859.439830,5395.000000000,385.000000000,1.146674633,0.277243078,-0.662008756,-0.007223633
1784377859.450068,5394.000000000,337.000000000,1.146674633,0.277267039,-0.172728655,-0.005930883
1784377859.459857,5466.000000000,387.000000000,1.146698594,0.277243078,0.420432125,0.001196429
1784377859.470011,5364.000000000,334.000000000,1.146818399,0.277243078,0.658889645,0.007209038
1784377859.479802,5443.000000000,408.000000000,1.146818399,0.277243078,0.241164194,0.006006598
