__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,acc_g,vel_g
1784889423.689763,9561.000000000,352.000000000,0.920963764,0.221180856,,
1784889423.699794,9587.000000000,385.000000000,0.920963764,0.221180856,,-0.003601462
1784889423.709777,9576.000000000,356.000000000,0.920963764,0.221204832,0.361734091,0.000000000
1784889423.719894,9604.000000000,381.000000000,0.921035647,0.221228793,0.357079386,0.003576131
1784889423.729713,9588.000000000,380.000000000,0.921035647,0.221228793,0.180857816,0.003605640
1784889423.739833,9621.000000000,419.000000000,0.921035647,0.221156895,-0.179356194,0.000000000
1784889423.749834,9571.000000000,387.000000000,0.920963764,0.221180856,-0.356754699,-0.003572571
1784889423.759863,9513.000000000,334.000000000,0.920963764,0.221180856,-0.179165438,-0.003588730
1784889423.770036,9609.000000000,407.000000000,0.920939744,0.221228793,0.117985911,-0.001189029
1784889423.779821,9627.000000000,416.000000000,0.921011686,0.221228793,0.300128850,0.002401176
1784889423.789835,9543.000000000,357.000000000,0.921035647,0.221204832,0.304707659,0.004843876
1784889423.799892,9599.000000000,387.000000000,0.921035647,0.221132919,-0.060154468,0.001193828
1784889423.809865,9568.000000000,380.000000000,0.920963764,0.221180856,-0.420986211,-0.003588688
1784889423.819858,9563.000000000,407.000000000,0.920963764,0.221204832,-0.240121006,-0.003600344
1784889423.829849,9572.000000000,377.000000000,0.920939744,0.221204832,0.119432266,-0.001202038
1784889423.839873,9604.000000000,412.000000000,0.921035647,0.221204832,0.359314576,0.003591423
1784889423.849859,9572.000000000,350.000000000,0.921011686,0.221180856,0.239734271,0.003595215
1784889423.860059,9544.000000000,342.000000000,0.921011686,0.221156895,-0.236724641,-0.001187031
1784889423.869758,9560.000000000,360.000000000,0.920987725,0.221156895,-0.241187100,-0.001204141
1784889423.879766,9561.000000000,363.000000000,0.920963764,0.221228793,-0.063160652,-0.002431736
1784889423.889837,9582.000000000,400.000000000,0.920939744,0.221228793,-0.059043045,-0.002389660
1784889423.899980,9625.000000000,387.000000000,0.921011686,0.221228793,0.237580246,0.002370730
1784889423.909716,9579.000000000,373.000000000,0.921035647,0.221156895,0.362908989,0.004824472
1784889423.919684,9592.000000000,400.000000000,0.921011686,0.221156895,-0.120315123,0.000000000
1784889423.929733,9578.000000000,375.000000000,0.920963764,0.221228793,-0.420424360,-0.003591124
1784889423.939817,9578.000000000,412.000000000,0.920963764,0.221228793,-0.118230263,-0.002380304
1784889423.950045,9555.000000000,342.000000000,0.920939744,0.221228793,0.118576924,-0.001182581
1784889423.959715,9603.000000000,406.000000000,0.921011686,0.221156895,0.240654509,0.002408339
1784889423.969726,9543.000000000,346.000000000,0.921035647,0.221156895,0.307689806,0.004872981
1784889423.979663,9525.000000000,334.000000000,0.921011686,0.221156895,-0.120733718,0.000000000
1784889423.989718,9591.000000000,395.000000000,0.920963764,0.221228793,-0.423573425,-0.003595449
1784889423.999778,9588.000000000,393.000000000,0.920939744,0.221204832,-0.177795510,-0.003576466
1784889424.009770,9592.000000000,395.000000000,0.920939744,0.221228793,0.119567200,-0.001197950
1784889424.019742,9584.000000000,388.000000000,0.921011686,0.221156895,0.359665459,0.003603717
1784889424.029808,9600.000000000,440.000000000,0.921011686,0.221156895,0.238956749,0.003590296
1784889424.039754,9564.000000000,358.000000000,0.921011686,0.221228793,-0.180076520,0.000000000
1784889424.049793,9583.000000000,385.000000000,0.920963764,0.221228793,-0.299640607,-0.002397938
1784889424.059905,9578.000000000,381.000000000,0.920963764,0.221228793,-0.118014939,-0.002378135
1784889424.069723,9578.000000000,379.000000000,0.920939744,0.221180856,0.059843790,-0.001205230
1784889424.079688,9580.000000000,381.000000000,0.921011686,0.221156895,0.242654332,0.002422358
1784889424.089801,9532.000000000,369.000000000,0.921035647,0.221156895,0.297922974,0.004776522
1784889424.099746,9583.000000000,365.000000000,0.921035647,0.221204832,-0.061210943,0.001194594
1784889424.109780,9586.000000000,371.000000000,0.920963764,0.221204832,-0.419163100,-0.003597938
1784889424.119791,9590.000000000,412.000000000,0.920963764,0.221156895,-0.238511669,-0.003586212
1784889424.129805,9590.000000000,364.000000000,0.920939744,0.221156895,0.119771141,-0.001199548
1784889424.139766,9595.000000000,379.000000000,0.921011686,0.221156895,0.299636526,0.002399083
1784889424.149802,9543.000000000,380.000000000,0.921011686,0.221204832,0.239889839,0.003597615
1784889424.159880,9613.000000000,431.000000000,0.921011686,0.221204832,-0.119271802,0.000000000
1784889424.169863,9545.000000000,354.000000000,0.920963764,0.221204832,-0.298416287,-0.002388847
1784889424.179740,9567.000000000,376.000000000,0.920939744,0.221204832,-0.182405545,-0.003622536
1784889424.189840,9563.000000000,352.000000000,0.920939744,0.221156895,0.059389848,-0.001202411
1784889424.199813,9543.000000000,333.000000000,0.920939744,0.221156895,0.180464369,0.000000000
1784889424.209846,9560.000000000,379.000000000,0.921011686,0.221204832,0.239852888,0.003596072
1784889424.219969,9535.000000000,360.000000000,0.921011686,0.221204832,0.177093754,0.003569401
1784889424.229835,9568.000000000,371.000000000,0.920963764,0.221204832,-0.299839491,-0.002397424
1784889424.239808,9592.000000000,399.000000000,0.920963764,0.221180856,-0.301675093,-0.002415546
1784889424.250016,9549.000000000,350.000000000,0.920915782,0.221180856,0.000983439,-0.002377577
1784889424.259824,9614.000000000,427.000000000,0.921011686,0.221204832,0.240286870,0.002394140
1784889424.269884,9564.000000000,376.000000000,0.921011686,0.221204832,0.362620653,0.004827019
1784889424.279805,9560.000000000,367.000000000,0.921011686,0.221204832,-0.119819941,0.000000000
1784889424.289801,9564.000000000,379.000000000,0.920963764,0.221180856,-0.363162417,-0.002406091
1784889424.299854,9498.000000000,301.000000000,0.920963764,0.221180856,-0.119230651,-0.002390353
1784889424.309772,9578.000000000,377.000000000,0.920939744,0.221156895,0.060253019,-0.001202827
1784889424.319810,9580.000000000,396.000000000,0.921011686,0.221156895,0.240100451,0.002401290
1784889424.329844,9568.000000000,365.000000000,0.921011686,0.221180856,0.238475159,0.003584070
1784889424.339873,9536.000000000,371.000000000,0.921011686,0.221204832,-0.119687953,0.000000000
1784889424.349864,9564.000000000,373.000000000,0.920963764,0.221204832,-0.298610299,-0.002393826
1784889424.359846,9544.000000000,356.000000000,0.920939744,0.221180856,-0.180351510,-0.003602082
1784889424.369920,9586.000000000,396.000000000,0.920939744,0.221180856,0.059640309,-0.001197637
1784889424.379741,9517.000000000,334.000000000,0.921011686,0.221180856,0.362819546,0.003616154
1784889424.389896,9575.000000000,385.000000000,0.921011686,0.221204832,0.240255367,0.003601566
1784889424.399876,9540.000000000,363.000000000,0.921011686,0.221204832,-0.179593983,0.000000000
