__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,acc_g,vel_g
1784116994.851473,9680.000000000,354.000000000,0.913821161,0.194935411,,
1784116994.861734,9708.000000000,357.000000000,0.913797200,0.194935411,,-0.005990130
1784116994.871394,9731.000000000,379.000000000,0.913821161,0.194911435,0.493975209,0.000000000
1784116994.881615,9731.000000000,396.000000000,0.913845122,0.194911435,0.422536264,0.002410419
1784116994.891543,9717.000000000,396.000000000,0.913893044,0.194935411,0.177060114,0.003567583
1784116994.901542,9704.000000000,354.000000000,0.913821161,0.194935411,-0.181304513,-0.001202441
1784116994.911506,9703.000000000,380.000000000,0.913821161,0.194935411,-0.359083828,-0.003600817
1784116994.921621,9740.000000000,383.000000000,0.913821161,0.194911435,0.059885797,0.000000000
1784116994.931848,9723.000000000,388.000000000,0.913821161,0.194911435,0.177008787,0.000000000
1784116994.941587,9650.000000000,297.000000000,0.913845122,0.194911435,0.060107538,0.001200100
1784116994.951744,9746.000000000,380.000000000,0.913893044,0.194911435,0.181604148,0.003613072
1784116994.961484,9716.000000000,384.000000000,0.913821161,0.194935411,-0.120838077,-0.001204242
1784116994.971545,9700.000000000,358.000000000,0.913821161,0.194935411,-0.365796952,-0.003630212
1784116994.981488,9686.000000000,356.000000000,0.913821161,0.194887474,0.060199948,0.000000000
1784116994.991548,9696.000000000,369.000000000,0.913773179,0.194911435,0.061564549,-0.002398746
1784116995.001868,9680.000000000,361.000000000,0.913821161,0.194911435,0.000000000,0.000000000
1784116995.011537,9731.000000000,384.000000000,0.913845122,0.194983348,0.300046547,0.003599032
1784116995.021720,9665.000000000,357.000000000,0.913845122,0.194959372,0.060799638,0.001206990
1784116995.031713,9721.000000000,397.000000000,0.913821161,0.194959372,-0.237255420,-0.001187648
1784116995.041714,9631.000000000,285.000000000,0.913821161,0.194887474,-0.120303889,-0.001198397
1784116995.051535,9697.000000000,358.000000000,0.913797200,0.194887474,-0.001066545,-0.001208790
1784116995.061643,9692.000000000,356.000000000,0.913821161,0.194935411,0.060134266,0.000000000
1784116995.071432,9688.000000000,361.000000000,0.913845122,0.194935411,0.181794283,0.002408455
1784116995.081418,9689.000000000,368.000000000,0.913845122,0.194935411,0.061272625,0.001211675
1784116995.091387,9711.000000000,361.000000000,0.913821161,0.194863498,-0.180871291,-0.001200774
1784116995.101443,9735.000000000,414.000000000,0.913773179,0.194863498,-0.239926028,-0.003592732
1784116995.111451,9705.000000000,352.000000000,0.913773179,0.194887474,-0.059346324,-0.002391477
1784116995.121450,9708.000000000,375.000000000,0.913797200,0.194959372,0.239581435,0.001200605
1784116995.131447,9693.000000000,345.000000000,0.913845122,0.194959372,0.299522785,0.003597830
1784116995.141408,9695.000000000,342.000000000,0.913869083,0.194959372,0.120304681,0.003601677
1784116995.151430,9635.000000000,279.000000000,0.913821161,0.194911435,-0.240044790,-0.001199055
1784116995.161433,9708.000000000,348.000000000,0.913773179,0.194911435,-0.419043464,-0.004789375
1784116995.171443,9691.000000000,354.000000000,0.913773179,0.194959372,-0.059883906,-0.002397517
1784116995.181470,9691.000000000,360.000000000,0.913893044,0.194959372,0.537546089,0.005981914
1784116995.191426,9721.000000000,364.000000000,0.913869083,0.194959372,0.360144043,0.004799260
1784116995.201435,9720.000000000,367.000000000,0.913845122,0.194887474,-0.419847617,-0.002400315
1784116995.211417,9699.000000000,352.000000000,0.913773179,0.194887474,-0.480066679,-0.004797486
1784116995.221447,9670.000000000,341.000000000,0.913749218,0.194887474,-0.119543027,-0.004792513
1784116995.231447,9728.000000000,380.000000000,0.913773179,0.194959372,0.239511911,0.000000000
1784116995.241459,9748.000000000,406.000000000,0.913893044,0.194959372,0.598597771,0.007186852
1784116995.251432,9657.000000000,326.000000000,0.913869083,0.194959372,0.240120676,0.004798802
1784116995.261430,9705.000000000,360.000000000,0.913845122,0.194863498,-0.480021132,-0.002399599
1784116995.271470,9754.000000000,408.000000000,0.913749218,0.194863498,-0.538016576,-0.005981914
1784116995.281415,9724.000000000,375.000000000,0.913773179,0.194959372,-0.060051852,-0.003599761
