__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,acc_g,vel_g
1784115552.351980,7689.000000000,393.000000000,0.199992746,-0.048032761,,
1784115552.361892,7664.000000000,380.000000000,0.199968785,-0.048008919,,0.000000000
1784115552.372153,7674.000000000,388.000000000,0.199968785,-0.047960758,-0.177560540,-0.001187803
1784115552.381863,7715.000000000,412.000000000,0.199992746,-0.047984600,0.060077403,0.001199799
1784115552.392134,7707.000000000,380.000000000,0.199992746,-0.047984600,0.119459811,0.001199170
1784115552.402132,7695.000000000,404.000000000,0.199992746,-0.048008919,-0.059192665,0.000000000
1784115552.412038,7722.000000000,423.000000000,0.200016722,-0.048008919,0.000272159,0.001204587
1784115552.422069,7646.000000000,349.000000000,0.199992746,-0.048008919,0.000000000,0.000000000
1784115552.431938,7679.000000000,372.000000000,0.199968785,-0.048008919,-0.181573530,-0.002408828
1784115552.442116,7697.000000000,431.000000000,0.199992746,-0.047960758,0.000000000,0.000000000
1784115552.452130,7664.000000000,373.000000000,0.199992746,-0.047960758,0.178074537,0.001186709
1784115552.462141,7689.000000000,395.000000000,0.199968785,-0.047960758,-0.059754526,-0.001196571
1784115552.472151,7714.000000000,419.000000000,0.200016722,-0.047984600,0.000540435,0.001197529
1784115552.481980,7667.000000000,385.000000000,0.199992746,-0.047984600,0.121185944,0.001207729
1784115552.491985,7663.000000000,395.000000000,0.199968785,-0.047984600,-0.182233968,-0.002416907
1784115552.502034,7667.000000000,368.000000000,0.199992746,-0.047984600,-0.060225711,0.000000000
1784115552.512142,7698.000000000,403.000000000,0.199992746,-0.047984600,0.178876097,0.001188716
1784115552.522075,7652.000000000,357.000000000,0.199992746,-0.048008919,0.000000000,0.000000000
1784115552.532099,7670.000000000,391.000000000,0.200016722,-0.048008919,0.000634431,0.001201377
1784115552.542199,7698.000000000,399.000000000,0.199992746,-0.048008919,0.000000000,0.000000000
1784115552.552009,7706.000000000,400.000000000,0.199992746,-0.047984600,-0.120822563,-0.001204212
1784115552.562045,7706.000000000,432.000000000,0.199992746,-0.048008919,0.000000000,0.000000000
1784115552.571954,7701.000000000,419.000000000,0.199992746,-0.048008919,0.060376174,0.000000000
1784115552.581923,7698.000000000,412.000000000,0.200016722,-0.048008919,0.060679935,0.001206176
1784115552.591930,7693.000000000,400.000000000,0.200016722,-0.048008919,0.060087502,0.001200273
1784115552.601893,7717.000000000,407.000000000,0.199968785,-0.047984600,-0.180606812,-0.002400488
1784115552.611912,7664.000000000,365.000000000,0.199992746,-0.047984600,-0.120116938,-0.001199887
1784115552.621897,7714.000000000,415.000000000,0.199992746,-0.047960758,0.179878721,0.001197812
1784115552.631830,7651.000000000,380.000000000,0.199992746,-0.048032761,0.060238544,0.000000000
1784115552.641881,7675.000000000,395.000000000,0.199992746,-0.048008919,-0.059938518,0.000000000
1784115552.651882,7643.000000000,377.000000000,0.200016722,-0.047984600,0.059631123,0.001195706
1784115552.661917,7730.000000000,426.000000000,0.199944809,-0.047984600,-0.119412531,-0.002392547
1784115552.671913,7701.000000000,385.000000000,0.199968785,-0.047984600,-0.179168660,-0.002393174
1784115552.681881,7689.000000000,387.000000000,0.199968785,-0.048032761,0.179993881,0.001200933
1784115552.691881,7695.000000000,435.000000000,0.199992746,-0.048008919,0.179942009,0.001199957
1784115552.701930,7689.000000000,403.000000000,0.200016722,-0.048032761,0.059361032,0.002391039
1784115552.711899,7711.000000000,435.000000000,0.199920848,-0.048008919,-0.239378910,-0.003591783
1784115552.721893,7683.000000000,383.000000000,0.199968785,-0.048008919,-0.240060319,-0.002401291
1784115552.731827,7725.000000000,431.000000000,0.199992746,-0.048008919,0.361265567,0.003607768
1784115552.741931,7629.000000000,340.000000000,0.199944809,-0.048032761,0.060124067,-0.001196532
1784115552.751885,7671.000000000,383.000000000,0.199992746,-0.048032761,-0.179869670,0.000000000
1784115552.761927,7670.000000000,344.000000000,0.199992746,-0.048008919,0.179723026,0.002397283
1784115552.771995,7703.000000000,412.000000000,0.199920848,-0.048008919,-0.177777733,-0.003575176
1784115552.781916,7659.000000000,389.000000000,0.199944809,-0.047984600,-0.239912962,-0.002398226
1784115552.791926,7672.000000000,416.000000000,0.199944809,-0.048032761,0.239705379,0.001202239
1784115552.801925,7632.000000000,361.000000000,0.199968785,-0.048032761,0.179740048,0.001198242
1784115552.811940,7664.000000000,393.000000000,0.199968785,-0.048008919,-0.000215391,0.001197928
1784115552.821944,7683.000000000,399.000000000,0.199896872,-0.048032761,-0.239305507,-0.003592313
1784115552.831873,7670.000000000,381.000000000,0.199920848,-0.048008919,-0.180747560,-0.002404910
1784115552.841927,7656.000000000,380.000000000,0.199944809,-0.047984600,0.299813935,0.002398884
1784115552.851919,7671.000000000,364.000000000,0.199944809,-0.048032761,0.179597684,0.001195304
1784115552.861919,7698.000000000,399.000000000,0.199968785,-0.048032761,-0.060004317,0.001199257
1784115552.871973,7695.000000000,419.000000000,0.199992746,-0.048008919,0.059592852,0.002390386
1784115552.881897,7683.000000000,377.000000000,0.199896872,-0.048008919,-0.240201575,-0.003599558
1784115552.891896,7662.000000000,383.000000000,0.199920848,-0.048008919,-0.301124990,-0.003608847
1784115552.901872,7707.000000000,407.000000000,0.199920848,-0.048008919,0.240290441,0.001200288
1784115552.911871,7726.000000000,434.000000000,0.199944809,-0.048032761,0.240718116,0.001199542
1784115552.921891,7663.000000000,369.000000000,0.199968785,-0.048032761,0.059663707,0.002394656
1784115552.931830,7718.000000000,432.000000000,0.199896872,-0.048008919,-0.180439748,-0.002401807
1784115552.941990,7710.000000000,404.000000000,0.199896872,-0.048008919,-0.297160614,-0.003577953
1784115552.951985,7750.000000000,446.000000000,0.199920848,-0.047984600,0.178186115,0.001189568
1784115552.962008,7635.000000000,340.000000000,0.199920848,-0.048032761,0.238560343,0.001197686
1784115552.971971,7709.000000000,414.000000000,0.199944809,-0.048032761,0.000466100,0.001198883
1784115552.981980,7685.000000000,426.000000000,0.199920848,-0.048008919,-0.059967993,0.000000000
1784115552.991996,7721.000000000,459.000000000,0.199896872,-0.048008919,-0.179419775,-0.002393915
1784115553.001933,7676.000000000,402.000000000,0.199920848,-0.048008919,0.000000000,0.000000000
1784115553.011904,7703.000000000,414.000000000,0.199944809,-0.048032761,0.241189548,0.002407848
1784115553.021981,7670.000000000,381.000000000,0.199944809,-0.048032761,0.059612490,0.001195148
1784115553.031817,7736.000000000,426.000000000,0.199944809,-0.048032761,-0.120921526,0.000000000
1784115553.041920,7726.000000000,440.000000000,0.199920848,-0.048008919,-0.120210464,-0.001201722
1784115553.051870,7639.000000000,371.000000000,0.199896872,-0.048032761,-0.119213846,-0.002390556
1784115553.061932,7697.000000000,399.000000000,0.199896872,-0.048056602,0.000181002,-0.001198100
1784115553.071924,7650.000000000,352.000000000,0.199920848,-0.048056602,0.178822287,0.001195564
1784115553.081919,7685.000000000,381.000000000,0.199920848,-0.048008919,0.119965205,0.001199600
1784115553.091953,7648.000000000,380.000000000,0.199944809,-0.048032761,0.000038174,0.001196329
1784115553.101868,7683.000000000,392.000000000,0.199920848,-0.048008919,-0.060133482,0.000000000
1784115553.111899,7695.000000000,418.000000000,0.199896872,-0.048008919,-0.180469271,-0.002403329
1784115553.121922,7682.000000000,424.000000000,0.199944809,-0.048008919,0.059577060,0.001194793
1784115553.131864,7662.000000000,376.000000000,0.199920848,-0.048008919,0.180519551,0.001200861
1784115553.141935,7668.000000000,357.000000000,0.199920848,-0.048008919,-0.119531275,-0.001197312
1784115553.151927,7736.000000000,431.000000000,0.199944809,-0.048008919,-0.000326521,0.001194310
1784115553.161952,7703.000000000,392.000000000,0.199920848,-0.048008919,0.059813621,0.000000000
1784115553.171920,7627.000000000,350.000000000,0.199896872,-0.048032761,-0.179669080,-0.002397740
1784115553.181938,7654.000000000,368.000000000,0.199944809,-0.047984600,0.059988566,0.001198912
1784115553.191925,7695.000000000,399.000000000,0.199944809,-0.048008919,0.239635670,0.002396226
1784115553.201953,7699.000000000,420.000000000,0.199968785,-0.048008919,-0.000050568,0.001197900
1784115553.211938,7674.000000000,373.000000000,0.199944809,-0.048008919,-0.119730040,0.000000000
1784115553.221920,7683.000000000,396.000000000,0.199992746,-0.047984600,0.000105175,0.001200000
1784115553.231826,7672.000000000,371.000000000,0.199968785,-0.048008919,0.060620299,0.001205583
1784115553.241874,7703.000000000,388.000000000,0.199944809,-0.047984600,-0.180531006,-0.002402353
1784115553.251831,7694.000000000,389.000000000,0.199992746,-0.047984600,-0.000392737,0.001197726
1784115553.261884,7721.000000000,407.000000000,0.199992746,-0.048008919,0.239780537,0.002395655
1784115553.271921,7699.000000000,426.000000000,0.199944809,-0.048008919,-0.178394794,-0.002386159
