__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,acc_g,vel_g
1784380002.947905,6004.000000000,406.000000000,1.037498355,0.278824985,,
1784380002.957887,6012.000000000,411.000000000,1.037474394,0.278824985,,-0.007208607
1784380002.967909,6034.000000000,392.000000000,1.037474394,0.278824985,0.541341465,-0.001197826
1784380002.977822,6015.000000000,383.000000000,1.037570238,0.278848946,0.602765708,0.004807750
1784380002.987887,6017.000000000,373.000000000,1.037570238,0.278824985,0.300094686,0.004797480
1784380002.997965,6003.000000000,385.000000000,1.037594199,0.278824985,-0.179629851,0.001189588
1784380003.008096,5977.000000000,360.000000000,1.037522316,0.278824985,-0.354726033,-0.002371290
1784380003.018043,5970.000000000,342.000000000,1.037474394,0.278824985,-0.356417631,-0.005966800
1784380003.027954,5935.000000000,313.000000000,1.037474394,0.278824985,-0.002113276,-0.002413255
1784380003.037869,5999.000000000,383.000000000,1.037546277,0.278824985,0.483844720,0.003625759
1784380003.047837,5993.000000000,353.000000000,1.037570238,0.278824985,0.363792396,0.004820259
1784380003.057880,6031.000000000,373.000000000,1.037594199,0.278824985,-0.061514493,0.002394796
1784380003.067963,6030.000000000,418.000000000,1.037522316,0.278824985,-0.357817205,-0.002381122
1784380003.077911,6011.000000000,403.000000000,1.037474394,0.278801024,-0.418133834,-0.005980932
1784380003.087959,6017.000000000,377.000000000,1.037474394,0.278824985,-0.000775250,-0.002396623
1784380003.097846,6013.000000000,395.000000000,1.037546277,0.278824985,0.480922911,0.003605985
1784380003.107874,6013.000000000,381.000000000,1.037570238,0.278824985,0.361992663,0.004812585
1784380003.117866,6060.000000000,431.000000000,1.037546277,0.278824985,-0.180112616,0.000000000
1784380003.127882,5953.000000000,318.000000000,1.037498355,0.278824985,-0.420101872,-0.003592750
1784380003.137933,5992.000000000,361.000000000,1.037474394,0.278824985,-0.178523127,-0.003582292
1784380003.148057,6012.000000000,371.000000000,1.037498355,0.278824985,0.178085802,0.000000000
1784380003.158026,6023.000000000,384.000000000,1.037522316,0.278824985,0.296970373,0.002384936
1784380003.167821,5969.000000000,344.000000000,1.037570238,0.278824985,0.184013056,0.003636956
1784380003.177851,5996.000000000,345.000000000,1.037546277,0.278824985,-0.059334520,0.001208630
1784380003.187908,6001.000000000,385.000000000,1.037498355,0.278824985,-0.359208389,-0.003578550
1784380003.197822,6007.000000000,381.000000000,1.037498355,0.278824985,-0.180681562,-0.002399656
1784380003.207898,6007.000000000,399.000000000,1.037522316,0.278824985,0.238983681,0.001198669
1784380003.217923,6064.000000000,396.000000000,1.037522316,0.278824985,0.178678487,0.001192015
1784380003.227864,6012.000000000,385.000000000,1.037570238,0.278824985,0.060177074,0.002400172
1784380003.237777,5973.000000000,334.000000000,1.037546277,0.278824985,0.000747656,0.001206859
1784380003.247881,6016.000000000,377.000000000,1.037498355,0.278824985,-0.299323155,-0.003591210
1784380003.257881,6055.000000000,419.000000000,1.037498355,0.278824985,-0.178600830,-0.002383720
1784380003.267947,5977.000000000,357.000000000,1.037522316,0.278848946,0.238471716,0.001194083
1784380003.277944,6003.000000000,356.000000000,1.037546277,0.278824985,0.237871438,0.002388620
1784380003.287886,6059.000000000,403.000000000,1.037570238,0.278824985,0.060651025,0.002403415
