__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,__time,acc_g,vel_g
1784181438.565375,10559.000000000,333.000000000,1.168653727,0.301019758,1784181438.565375090,,
1784181438.575490,10593.000000000,371.000000000,1.168653727,0.301019758,1784181438.575489998,,0.001192892
1784181438.585396,10598.000000000,346.000000000,1.168701649,0.300995797,1784181438.585396051,0.180325411,0.002393627
1784181438.595376,10560.000000000,350.000000000,1.168701649,0.300995797,1784181438.595376015,0.061196181,0.002409841
1784181438.605407,10657.000000000,422.000000000,1.168677688,0.301019758,1784181438.605407000,-0.179452987,-0.001197398
1784181438.615364,10581.000000000,360.000000000,1.168629766,0.301019758,1784181438.615364075,-0.300486784,-0.003596307
1784181438.625353,10661.000000000,431.000000000,1.168629766,0.300995797,1784181438.625353098,-0.060422042,-0.002402582
1784181438.635365,10645.000000000,402.000000000,1.168629766,0.301019758,1784181438.635365009,0.179806951,0.000000000
1784181438.645432,10543.000000000,326.000000000,1.168701649,0.300995797,1784181438.645431995,0.297955561,0.003580037
1784181438.655416,10613.000000000,365.000000000,1.168701649,0.300995797,1784181438.655416012,0.178782187,0.003584890
1784181438.665455,10641.000000000,399.000000000,1.168677688,0.301019758,1784181438.665455103,-0.238556223,-0.001196657
1784181438.675403,10570.000000000,321.000000000,1.168629766,0.301019758,1784181438.675403118,-0.359312932,-0.003596564
1784181438.685421,10535.000000000,309.000000000,1.168629766,0.301019758,1784181438.685420990,-0.060284333,-0.002400258
1784181438.695375,10673.000000000,415.000000000,1.168677688,0.300995797,1784181438.695374966,0.300225042,0.002399484
1784181438.705486,10644.000000000,406.000000000,1.168701649,0.300995797,1784181438.705486059,0.298162382,0.003582462
1784181438.715377,10594.000000000,364.000000000,1.168701649,0.300995797,1784181438.715377092,-0.060071526,0.001197912
1784181438.725462,10529.000000000,299.000000000,1.168629766,0.300995797,1784181438.725461960,-0.359474629,-0.003598453
1784181438.735428,10581.000000000,399.000000000,1.168629766,0.301019758,1784181438.735428095,-0.238548100,-0.003585103
1784181438.745389,10546.000000000,344.000000000,1.168629766,0.301019758,1784181438.745388985,0.180588040,0.000000000
1784181438.755408,10544.000000000,345.000000000,1.168653727,0.301019758,1784181438.755408049,0.239461509,0.001199270
1784181438.765327,10503.000000000,311.000000000,1.168701649,0.300995797,1784181438.765326977,0.180810242,0.003605166
1784181438.775407,10611.000000000,412.000000000,1.168677688,0.300995797,1784181438.775407076,-0.000059333,0.001198083
1784181438.785338,10567.000000000,340.000000000,1.168677688,0.301019758,1784181438.785337925,-0.240000371,-0.001197412
1784181438.795330,10551.000000000,356.000000000,1.168677688,0.301019758,1784181438.795330048,-0.060135761,0.000000000
1784181438.805304,10625.000000000,397.000000000,1.168653727,0.300995797,1784181438.805304050,-0.000136076,-0.001200129
1784181438.815301,10603.000000000,353.000000000,1.168653727,0.300995797,1784181438.815300941,-0.060075968,-0.001199785
1784181438.825304,10583.000000000,377.000000000,1.168701649,0.300995797,1784181438.825304031,0.179812070,0.002396109
1784181438.835306,10556.000000000,350.000000000,1.168701649,0.300995797,1784181438.835305929,0.179723471,0.002395538
1784181438.845303,10646.000000000,393.000000000,1.168677688,0.301019758,1784181438.845303059,-0.179714060,-0.001198083
1784181438.855304,10567.000000000,322.000000000,1.168629766,0.301019758,1784181438.855304003,-0.299542488,-0.003594592
1784181438.865294,10442.000000000,250.000000000,1.168653727,0.300995797,1784181438.865293980,-0.000026447,-0.001198612
1784181438.875284,10597.000000000,369.000000000,1.168653727,0.300971836,1784181438.875283957,0.239922120,0.001199212
1784181438.885309,10544.000000000,334.000000000,1.168677688,0.300995797,1784181438.885308981,0.119696439,0.001197141
1784181438.895297,10578.000000000,367.000000000,1.168677688,0.300995797,1784181438.895297050,-0.000095661,0.001197298
1784181438.905304,10599.000000000,384.000000000,1.168677688,0.301019758,1784181438.905303955,-0.059870675,0.000000000
1784181438.915302,10633.000000000,403.000000000,1.168629766,0.301019758,1784181438.915302038,-0.179595579,-0.002395509
1784181438.925298,10560.000000000,341.000000000,1.168653727,0.300995797,1784181438.925297976,-0.059938503,-0.001198412
1784181438.935296,10644.000000000,428.000000000,1.168677688,0.300995797,1784181438.935296059,0.239679718,0.002396766
1784181438.945297,10641.000000000,422.000000000,1.168677688,0.300995797,1784181438.945297003,0.119840564,0.001198169
1784181438.955294,10534.000000000,318.000000000,1.168677688,0.301019758,1784181438.955293894,-0.119854139,0.000000000
1784181438.965305,10431.000000000,250.000000000,1.168677688,0.301019758,1784181438.965305090,-0.059882797,0.000000000
1784181438.975305,10496.000000000,306.000000000,1.168653727,0.301019758,1784181438.975305080,-0.059837139,-0.001197398
1784181438.985298,10570.000000000,364.000000000,1.168653727,0.300995797,1784181438.985297918,-0.059944221,-0.001198469
1784181438.995297,10568.000000000,367.000000000,1.168653727,0.300995797,1784181438.995296955,0.059893513,0.000000000
1784181439.005295,10570.000000000,367.000000000,1.168701649,0.301019758,1784181439.005295038,0.179775492,0.002396480
1784181439.015319,10586.000000000,383.000000000,1.168677688,0.300995797,1784181439.015319109,0.059770181,0.001196728
1784181439.025349,10535.000000000,337.000000000,1.168677688,0.300995797,1784181439.025348902,-0.179086327,-0.001194850
1784181439.035323,10620.000000000,399.000000000,1.168653727,0.300995797,1784181439.035322905,-0.119700691,-0.001197797
1784181439.045376,10620.000000000,406.000000000,1.168653727,0.300971836,1784181439.045376062,-0.000077414,-0.001196400
1784181439.055338,10546.000000000,358.000000000,1.168677688,0.300995797,1784181439.055337906,0.119655756,0.001197141
1784181439.065298,10531.000000000,341.000000000,1.168701649,0.301019758,1784181439.065298080,0.180810082,0.002405572
1784181439.075301,10582.000000000,369.000000000,1.168677688,0.301019758,1784181439.075300932,-0.059969353,0.000000000
1784181439.085281,10563.000000000,360.000000000,1.168677688,0.300971836,1784181439.085280895,-0.180384932,-0.001199069
1784181439.095299,10583.000000000,354.000000000,1.168653727,0.300995797,1784181439.095299006,-0.059917067,-0.001198197
1784181439.105304,10575.000000000,369.000000000,1.168677688,0.300995797,1784181439.105304003,0.059882141,0.000000000
1784181439.115297,10564.000000000,361.000000000,1.168677688,0.301019758,1784181439.115297079,0.119823419,0.001198126
1784181439.125280,10540.000000000,345.000000000,1.168701649,0.300995797,1784181439.125279903,0.060051591,0.001199542
1784181439.135300,10464.000000000,305.000000000,1.168677688,0.300995797,1784181439.135299921,-0.059897785,0.000000000
1784181439.145303,10529.000000000,340.000000000,1.168677688,0.300971836,1784181439.145303011,-0.119674491,-0.001196685
1784181439.155311,10603.000000000,416.000000000,1.168653727,0.300995797,1784181439.155311108,-0.059837139,-0.001197398
1784181439.165296,10646.000000000,424.000000000,1.168677688,0.300971836,1784181439.165296078,0.059854286,0.000000000
1784181439.175298,10551.000000000,373.000000000,1.168677688,0.300995797,1784181439.175297976,0.119886350,0.001198812
1784181439.185295,10493.000000000,317.000000000,1.168701649,0.300995797,1784181439.185295105,0.059907067,0.001198097
1784181439.195309,10559.000000000,380.000000000,1.168677688,0.300995797,1784181439.195308924,-0.059908516,0.000000000
1784181439.205305,10578.000000000,397.000000000,1.168677688,0.300971836,1784181439.205305099,-0.119717790,-0.001197455
1784181439.215296,10552.000000000,363.000000000,1.168653727,0.300971836,1784181439.215296030,-0.059984272,-0.001198869
1784181439.225285,10645.000000000,426.000000000,1.168677688,0.300971836,1784181439.225285053,0.059934250,0.000000000
1784181439.235297,10544.000000000,337.000000000,1.168701649,0.300995797,1784181439.235296965,0.179731225,0.002395966
1784181439.245298,10489.000000000,321.000000000,1.168701649,0.300995797,1784181439.245297909,0.059824309,0.001197270
1784181439.255296,10574.000000000,381.000000000,1.168677688,0.300995797,1784181439.255295992,-0.179704063,-0.001198069
1784181439.265297,10589.000000000,408.000000000,1.168677688,0.300971836,1784181439.265296936,-0.119768457,-0.001198069
1784181439.275296,10605.000000000,400.000000000,1.168653727,0.300995797,1784181439.275295973,-0.000001428,-0.001198097
1784181439.285299,10540.000000000,344.000000000,1.168677688,0.300995797,1784181439.285299063,0.059899926,0.000000000
1784181439.295280,10516.000000000,305.000000000,1.168677688,0.300995797,1784181439.295279980,0.119949248,0.001198998
1784181439.305290,10540.000000000,353.000000000,1.168677688,0.300995797,1784181439.305289984,0.000000000,0.000000000
1784181439.315296,10558.000000000,376.000000000,1.168677688,0.300995797,1784181439.315295935,-0.059902819,0.000000000
1784181439.325294,10589.000000000,412.000000000,1.168677688,0.300995797,1784181439.325294018,0.000000000,0.000000000
1784181439.335281,10586.000000000,403.000000000,1.168653727,0.300995797,1784181439.335280895,-0.059989997,-0.001198926
1784181439.345305,10544.000000000,372.000000000,1.168677688,0.300995797,1784181439.345304966,0.000000000,0.000000000
1784181439.355302,10512.000000000,357.000000000,1.168701649,0.300995797,1784181439.355302095,0.179438151,0.002393598
1784181439.365359,10577.000000000,407.000000000,1.168701649,0.300995797,1784181439.365359068,0.059577060,0.001194793
1784181439.375300,10577.000000000,389.000000000,1.168677688,0.300995797,1784181439.375299931,-0.179611351,-0.001198197
1784181439.385311,10536.000000000,334.000000000,1.168677688,0.300971836,1784181439.385310888,-0.120080533,-0.001200975
1784181439.395306,10551.000000000,373.000000000,1.168677688,0.300995797,1784181439.395306110,0.059892075,0.000000000
1784181439.405314,10555.000000000,400.000000000,1.168677688,0.300995797,1784181439.405313969,0.060038793,0.000000000
1784181439.415366,10476.000000000,317.000000000,1.168701649,0.300995797,1784181439.415365934,0.059541662,0.001194438
1784181439.425303,10546.000000000,373.000000000,1.168701649,0.300995797,1784181439.425302982,0.059968533,0.001198712
1784181439.435365,10564.000000000,371.000000000,1.168677688,0.300995797,1784181439.435364962,-0.119635433,-0.001198126
1784181439.445368,10613.000000000,414.000000000,1.168677688,0.300995797,1784181439.445368052,-0.119253882,-0.001194154
1784181439.455303,10556.000000000,388.000000000,1.168653727,0.300995797,1784181439.455302954,-0.000181794,-0.001201751
1784181439.465370,10560.000000000,388.000000000,1.168677688,0.300995797,1784181439.465369940,0.059702063,0.000000000
1784181439.475337,10567.000000000,367.000000000,1.168701649,0.300995797,1784181439.475337029,0.179390586,0.002392088
1784181439.485362,10538.000000000,367.000000000,1.168701649,0.300995797,1784181439.485362053,0.059949941,0.001198526
1784181439.495361,10368.000000000,233.000000000,1.168677688,0.300995797,1784181439.495361090,-0.179216644,-0.001196600
1784181439.505357,10559.000000000,391.000000000,1.168677688,0.300995797,1784181439.505357027,-0.119874148,-0.001198354
1784181439.515365,10464.000000000,313.000000000,1.168677688,0.300995797,1784181439.515364885,0.059818623,0.000000000
1784181439.525358,10568.000000000,391.000000000,1.168677688,0.300995797,1784181439.525357962,0.059915639,0.000000000
1784181439.535300,10597.000000000,400.000000000,1.168701649,0.300995797,1784181439.535300016,0.060296033,0.001201981
1784181439.545333,10520.000000000,368.000000000,1.168677688,0.300995797,1784181439.545332909,0.000000000,0.000000000
1784181439.555479,10564.000000000,414.000000000,1.168677688,0.300995797,1784181439.555479050,-0.118410257,-0.001187424
1784181439.565414,10578.000000000,396.000000000,1.168677688,0.301019758,1784181439.565413952,0.000000000,0.000000000
1784181439.575395,10509.000000000,372.000000000,1.168677688,0.300995797,1784181439.575395107,0.059620008,0.000000000
1784181439.585325,10516.000000000,360.000000000,1.168677688,0.300995797,1784181439.585325003,0.000000000,0.000000000
1784181439.595360,10587.000000000,411.000000000,1.168701649,0.300995797,1784181439.595360041,0.060117587,0.001200201
1784181439.605360,10538.000000000,392.000000000,1.168701649,0.300995797,1784181439.605360031,0.059694809,0.001195973
1784181439.615300,10493.000000000,341.000000000,1.168677688,0.300995797,1784181439.615299940,-0.120448740,-0.001201621
1784181439.625341,10560.000000000,393.000000000,1.168677688,0.300995797,1784181439.625340939,-0.119868697,-0.001199170
1784181439.635309,10593.000000000,380.000000000,1.168653727,0.300995797,1784181439.635308981,0.000206081,-0.001197498
1784181439.645329,10527.000000000,379.000000000,1.168677688,0.300971836,1784181439.645328999,0.059994293,0.000000000
1784181439.655356,10587.000000000,371.000000000,1.168677688,0.300995797,1784181439.655355930,0.119361336,0.001195276
1784181439.665856,10568.000000000,377.000000000,1.168677688,0.300995797,1784181439.665855885,0.000000000,0.000000000
1784181439.675420,10546.000000000,383.000000000,1.168677688,0.300995797,1784181439.675420046,-0.059574238,0.000000000
1784181439.685501,10560.000000000,387.000000000,1.168677688,0.300995797,1784181439.685501099,0.000000000,0.000000000
1784181439.695434,10555.000000000,372.000000000,1.168653727,0.300995797,1784181439.695434093,-0.059814332,-0.001197170
1784181439.705550,10546.000000000,357.000000000,1.168653727,0.300995797,1784181439.705549955,-0.059605401,-0.001195077
1784181439.715453,10559.000000000,395.000000000,1.168677688,0.300995797,1784181439.715452909,0.119596609,0.001196956
1784181439.725394,10589.000000000,404.000000000,1.168677688,0.300995797,1784181439.725394011,0.121075657,0.001207497
1784181439.735354,10546.000000000,364.000000000,1.168677688,0.300995797,1784181439.735353947,-0.060143957,0.000000000
1784181439.745510,10548.000000000,393.000000000,1.168653727,0.300995797,1784181439.745510101,-0.119237586,-0.001191125
1784181439.755693,10546.000000000,381.000000000,1.168653727,0.300995797,1784181439.755692959,-0.057923744,-0.001178098
1784181439.765749,10614.000000000,449.000000000,1.168677688,0.300995797,1784181439.765748978,0.117354440,0.001183941
1784181439.775720,10517.000000000,354.000000000,1.168677688,0.300995797,1784181439.775719881,0.118563187,0.001196414
1784181439.785526,10507.000000000,329.000000000,1.168677688,0.300995797,1784181439.785526037,-0.059864350,0.000000000
1784181439.795505,10551.000000000,400.000000000,1.168677688,0.300995797,1784181439.795505047,-0.060472457,0.000000000
1784181439.805373,10543.000000000,372.000000000,1.168653727,0.301019758,1784181439.805372953,-0.060830318,-0.001207294
1784181439.815385,10508.000000000,330.000000000,1.168653727,0.300995797,1784181439.815385103,-0.060627678,-0.001205282
1784181439.825401,10564.000000000,377.000000000,1.168653727,0.300995797,1784181439.825401068,0.060279257,0.000000000
1784181439.835365,10546.000000000,363.000000000,1.168677688,0.300995797,1784181439.835365057,0.120349630,0.001199270
1784181439.845491,10515.000000000,346.000000000,1.168701649,0.300995797,1784181439.845490932,0.118738740,0.002385417
1784181439.855368,10556.000000000,380.000000000,1.168701649,0.300995797,1784181439.855367899,-0.000070031,0.001197869
1784181439.865448,10546.000000000,369.000000000,1.168653727,0.300995797,1784181439.865447998,-0.239840207,-0.002401204
1784181439.875388,10529.000000000,384.000000000,1.168629766,0.300995797,1784181439.875387907,-0.239167615,-0.003590440
1784181439.885366,10591.000000000,369.000000000,1.168677688,0.301019758,1784181439.885365963,0.180948926,0.001202973
1784181439.895338,10543.000000000,385.000000000,1.168677688,0.300995797,1784181439.895338058,0.300390428,0.002402180
1784181439.905396,10535.000000000,338.000000000,1.168677688,0.300995797,1784181439.905395985,-0.060060658,0.000000000
1784181439.915437,10594.000000000,402.000000000,1.168653727,0.301019758,1784181439.915436983,-0.178835107,-0.001192171
1784181439.925457,10511.000000000,348.000000000,1.168653727,0.300995797,1784181439.925457001,-0.059537416,-0.001194395
1784181439.935396,10556.000000000,361.000000000,1.168653727,0.300995797,1784181439.935395956,0.059728930,0.000000000
1784181439.945370,10538.000000000,350.000000000,1.168653727,0.300995797,1784181439.945369959,0.059979369,0.000000000
1784181439.955356,10535.000000000,350.000000000,1.168653727,0.300995797,1784181439.955355883,0.000000000,0.000000000
1784181439.965393,10527.000000000,322.000000000,1.168653727,0.300995797,1784181439.965393066,0.000000000,0.000000000
1784181439.975451,10503.000000000,314.000000000,1.168629766,0.300995797,1784181439.975450993,-0.059334157,-0.001192355
1784181439.985393,10587.000000000,400.000000000,1.168629766,0.300995797,1784181439.985393047,-0.059902782,-0.001198055
1784181439.995401,10540.000000000,338.000000000,1.168629766,0.300995797,1784181439.995400906,0.059768842,0.000000000
1784181440.005390,10597.000000000,376.000000000,1.168653727,0.300995797,1784181440.005389929,0.119826991,0.001198197
1784181440.015403,10489.000000000,313.000000000,1.168653727,0.300995797,1784181440.015403032,0.059887075,0.001197897
1784181440.025443,10642.000000000,428.000000000,1.168653727,0.301043749,1784181440.025443077,-0.059752504,0.000000000
1784181440.035396,10480.000000000,286.000000000,1.168629766,0.300995797,1784181440.035396099,-0.119859863,-0.001198469
1784181440.045439,10520.000000000,315.000000000,1.168629766,0.300995797,1784181440.045439005,-0.059925640,-0.001198283
1784181440.055410,10591.000000000,365.000000000,1.168629766,0.300995797,1784181440.055409908,0.059881382,0.000000000
1784181440.065485,10594.000000000,383.000000000,1.168629766,0.300995797,1784181440.065485001,0.059777390,0.000000000
1784181440.075357,10550.000000000,303.000000000,1.168653727,0.300995797,1784181440.075356960,0.060222544,0.001201248
1784181440.085416,10595.000000000,392.000000000,1.168677688,0.301019758,1784181440.085416079,0.120641119,0.002404450
1784181440.095394,10538.000000000,324.000000000,1.168629766,0.300995797,1784181440.095393896,-0.119635833,-0.001195859
1784181440.105373,10616.000000000,416.000000000,1.168629766,0.300971836,1784181440.105372906,-0.240802515,-0.002401262
1784181440.115446,10638.000000000,419.000000000,1.168629766,0.300995797,1784181440.115446091,0.059638737,0.000000000
1784181440.125429,10644.000000000,418.000000000,1.168653727,0.300995797,1784181440.125428915,0.179293507,0.001194693
1784181440.135411,10559.000000000,354.000000000,1.168653727,0.300995797,1784181440.135411024,0.060113280,0.001200158
1784181440.145403,10527.000000000,332.000000000,1.168629766,0.300995797,1784181440.145402908,-0.119869059,-0.001199599
1784181440.155406,10516.000000000,326.000000000,1.168629766,0.300995797,1784181440.155405998,-0.119949316,-0.001198312
1784181440.165404,10587.000000000,384.000000000,1.168605804,0.300995797,1784181440.165404081,0.000080074,-0.001197997
1784181440.175404,10465.000000000,286.000000000,1.168605804,0.300995797,1784181440.175404072,0.000005001,-0.001198212
1784181440.185408,10577.000000000,368.000000000,1.168629766,0.300995797,1784181440.185408115,0.119766300,0.001197812
1784181440.195347,10548.000000000,342.000000000,1.168629766,0.300995797,1784181440.195347071,0.120325244,0.001201463
1784181440.205377,10568.000000000,389.000000000,1.168653727,0.300995797,1784181440.205377102,0.000105996,0.001199928
1784181440.215365,10586.000000000,384.000000000,1.168629766,0.300995797,1784181440.215364933,-0.060019559,0.000000000
1784181440.225399,10546.000000000,346.000000000,1.168605804,0.300995797,1784181440.225399017,-0.179473956,-0.002393484
1784181440.235418,10536.000000000,334.000000000,1.168605804,0.300995797,1784181440.235418081,-0.059585560,-0.001194878
1784181440.245354,10535.000000000,344.000000000,1.168629766,0.300995797,1784181440.245353937,0.180118183,0.001200760
1784181440.255384,10499.000000000,272.000000000,1.168653727,0.300995797,1784181440.255383968,0.180053884,0.002400143
1784181440.265372,10603.000000000,392.000000000,1.168653727,0.300995797,1784181440.265372038,-0.000190740,0.001196942
