__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,acc_g,vel_g
1784218288.721858,9728.000000000,309.000000000,0.731157601,0.139160827,-0.176994826,-0.002376027
1784218288.731857,9778.000000000,375.000000000,0.731205523,0.139184788,-0.060039647,0.000000000
1784218288.741843,9716.000000000,313.000000000,0.731205523,0.139208764,0.238885033,0.002397967
1784218288.751702,9716.000000000,313.000000000,0.731205523,0.139208764,0.000000000,0.000000000
1784218288.761706,9774.000000000,364.000000000,0.731205523,0.139136851,-0.120720194,0.000000000
1784218288.771564,9777.000000000,353.000000000,0.731157601,0.139112890,-0.121473780,-0.002412733
1784218288.781734,9736.000000000,352.000000000,0.731181562,0.139160827,-0.059740299,-0.001196429
1784218288.791677,9748.000000000,338.000000000,0.731181562,0.139160827,0.179196123,0.001191351
1784218288.801622,9732.000000000,340.000000000,0.731181562,0.139208764,0.060157823,0.000000000
1784218288.811615,9762.000000000,360.000000000,0.731181562,0.139136851,-0.059751386,0.000000000
1784218288.821596,9751.000000000,345.000000000,0.731205523,0.139112890,0.060054458,0.001199570
1784218288.831681,9715.000000000,301.000000000,0.731157601,0.139112890,-0.059509123,-0.001194111
1784218288.841616,9764.000000000,360.000000000,0.731181562,0.139160827,-0.119703704,-0.001196870
1784218288.851741,9756.000000000,361.000000000,0.731205523,0.139160827,0.178626405,0.002389018
1784218288.861661,9802.000000000,393.000000000,0.731181562,0.139184788,0.059709753,0.000000000
1784218288.871696,9764.000000000,365.000000000,0.731181562,0.139136851,-0.179897229,-0.001200774
1784218288.881619,9770.000000000,381.000000000,0.731133640,0.139112890,-0.120304127,-0.002401089
1784218288.891594,9750.000000000,332.000000000,0.731157601,0.139136851,-0.000171365,-0.001204184
1784218288.901558,9813.000000000,400.000000000,0.731181562,0.139160827,0.240966570,0.002403472
1784218288.911586,9799.000000000,389.000000000,0.731205523,0.139184788,0.180125682,0.002396995
1784218288.921657,9789.000000000,402.000000000,0.731181562,0.139160827,-0.119583562,0.000000000
1784218288.931724,9837.000000000,428.000000000,0.731205523,0.139136851,-0.119028295,0.000000000
1784218288.941763,9704.000000000,340.000000000,0.731205523,0.139112890,0.059272257,0.001191733
1784218288.951964,9750.000000000,371.000000000,0.731157601,0.139136851,-0.116980157,-0.002367686
1784218288.961778,9791.000000000,384.000000000,0.731181562,0.139136851,-0.119350607,-0.001197127
1784218288.971633,9759.000000000,330.000000000,0.731229484,0.139184788,0.306200377,0.003654767
1784218288.981725,9794.000000000,388.000000000,0.731181562,0.139160827,0.060016664,0.000000000
1784218288.991902,9773.000000000,371.000000000,0.731205523,0.139136851,-0.238630587,-0.001182130
1784218289.001814,9797.000000000,416.000000000,0.731205523,0.139112890,0.059372188,0.001192737
1784218289.011833,9783.000000000,396.000000000,0.731157601,0.139136851,-0.061328788,-0.002404450
