__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset,lift,tilt,tilt1
1782647697.774518,,,,4036.000000000,346.000000000,0.000000000,,,
1782647697.774531,0.111692980,-0.067039967,0.000000000,,,,6.399541757,-3.841110388,-3.841110388
1782647697.784551,,,,4126.000000000,408.000000000,0.000000000,,,
1782647697.784574,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.794539,,,,4095.000000000,383.000000000,0.000000000,,,
1782647697.794564,0.111764885,-0.067039967,0.000000000,,,,6.403661645,-3.841110388,-3.841110388
1782647697.804542,,,,4080.000000000,356.000000000,0.000000000,,,
1782647697.804559,0.111669011,-0.067063808,0.000000000,,,,6.398168461,-3.842476427,-3.842476427
1782647697.814472,,,,4103.000000000,397.000000000,0.000000000,,,
1782647697.814485,0.111669011,-0.067039967,0.000000000,,,,6.398168461,-3.841110388,-3.841110388
1782647697.824509,0.111669011,-0.067039967,0.000000000,,,,6.398168461,-3.841110388,-3.841110388
1782647697.824520,,,,4063.000000000,353.000000000,0.000000000,,,
1782647697.834622,,,,4077.000000000,385.000000000,0.000000000,,,
1782647697.834640,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.844496,,,,4076.000000000,375.000000000,0.000000000,,,
1782647697.844510,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.854508,,,,4073.000000000,369.000000000,0.000000000,,,
