__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset,lift,tilt
1782643530.474638,0.131850451,0.341142952,0.000000000,,,,7.554480763,19.546067895
1782643530.484627,,,,3788.000000000,338.000000000,0.000000000,,
1782643530.484655,0.131850451,0.341047078,0.000000000,,,,7.554480763,19.540574711
1782643530.494608,,,,3815.000000000,361.000000000,0.000000000,,
1782643530.494642,0.131850451,0.341071039,0.000000000,,,,7.554480763,19.541947580
1782643530.504525,,,,3881.000000000,424.000000000,0.000000000,,
1782643530.504549,0.131826475,0.341047078,0.000000000,,,,7.553107040,19.540574711
1782643530.514705,,,,3823.000000000,365.000000000,0.000000000,,
1782643530.514742,0.131826475,0.341142952,0.000000000,,,,7.553107040,19.546067895
1782643530.524683,,,,3878.000000000,426.000000000,0.000000000,,
1782643530.524726,0.131826475,0.341142952,0.000000000,,,,7.553107040,19.546067895
1782643530.534602,,,,3815.000000000,371.000000000,0.000000000,,
1782643530.534635,0.131826475,0.341118991,0.000000000,,,,7.553107040,19.544695026
1782643530.544474,,,,3912.000000000,453.000000000,0.000000000,,
1782643530.544493,0.131826475,0.341118991,0.000000000,,,,7.553107040,19.544695026
1782643530.554458,,,,3857.000000000,385.000000000,0.000000000,,
1782643530.554482,0.131826475,0.341071039,0.000000000,,,,7.553107040,19.541947580
1782643530.564641,,,,3885.000000000,430.000000000,0.000000000,,
1782643530.564660,0.131826475,0.341047078,0.000000000,,,,7.553107040,19.540574711
1782643530.574655,,,,3830.000000000,372.000000000,0.000000000,,
1782643530.574676,0.131826475,0.341118991,0.000000000,,,,7.553107040,19.544695026
1782643530.584595,,,,3869.000000000,402.000000000,0.000000000,,
1782643530.584617,0.131850451,0.341118991,0.000000000,,,,7.554480763,19.544695026
1782643530.594726,,,,3880.000000000,407.000000000,0.000000000,,
1782643530.594742,0.131850451,0.341118991,0.000000000,,,,7.554480763,19.544695026
1782643530.604594,,,,3798.000000000,361.000000000,0.000000000,,
1782643530.604625,0.131826475,0.341071039,0.000000000,,,,7.553107040,19.541947580
1782643530.614783,,,,3835.000000000,367.000000000,0.000000000,,
1782643530.614813,0.131850451,0.341047078,0.000000000,,,,7.554480763,19.540574711
1782643530.624569,,,,3827.000000000,391.000000000,0.000000000,,
1782643530.624595,0.131826475,0.341047078,0.000000000,,,,7.553107040,19.540574711
1782643530.634555,,,,3858.000000000,431.000000000,0.000000000,,
1782643530.634574,0.131826475,0.341118991,0.000000000,,,,7.553107040,19.544695026
1782643530.644479,,,,3851.000000000,396.000000000,0.000000000,,
1782643530.644499,0.131850451,0.341118991,0.000000000,,,,7.554480763,19.544695026
1782643530.654577,,,,3818.000000000,352.000000000,0.000000000,,
1782643530.654599,0.131850451,0.341071039,0.000000000,,,,7.554480763,19.541947580
1782643530.664484,,,,3853.000000000,415.000000000,0.000000000,,
1782643530.664500,0.131850451,0.341071039,0.000000000,,,,7.554480763,19.541947580
