__time,/debug_geometry/a,/debug_geometry/b,/debug_geometry/c,/debug_geometry/d,/debug_geometry/e,/debug_geometry/f,/debug_geometry/fc,/debug_geometry/lw,/debug_geometry/median_pb,/debug_geometry/median_pr,/debug_geometry/offset_pb,/debug_geometry/offset_pr,/debug_geometry/pb,/debug_geometry/pr,/debug_geometry/raw_pb,/debug_geometry/raw_pr,/debug_geometry/theta_g,/debug_geometry/theta_t,/debug_geometry/w,omega_g
1782916327.119998,0.000000000,0.174760864,0.750313949,0.926289899,-0.085118499,0.579976408,-307.626575518,3.043656183,379.000000000,389.000000000,4225.853704726,380.000000000,0.000000000,10986.663411359,403.000000000,393.000000000,-0.684736895,1.272651808,-5.975435726,
1782916327.129823,0.000000000,0.174761162,0.750315341,0.926289899,-0.085109000,0.579983868,-307.626575518,3.043715749,378.000000000,389.000000000,4225.948548574,380.000000000,0.000000000,10986.663411359,364.000000000,373.000000000,-0.684712927,1.272651808,-5.975395642,0.002439599
1782916327.139708,0.000000000,0.174761162,0.750315341,0.926289899,-0.085109000,0.579983868,-307.626575518,3.043715749,378.000000000,389.000000000,4225.995969578,380.000000000,0.000000000,10986.663411359,389.000000000,391.000000000,-0.684712927,1.272651808,-5.975395642,0.000000000
1782916327.149737,0.000000000,0.174759970,0.750309773,0.926289899,-0.085146997,0.579954026,-239.265114292,3.043477474,376.500000000,387.000000000,4225.995969578,380.000000000,0.000000000,8545.182653279,313.000000000,319.000000000,-0.684808801,1.272651808,-4.647654652,-0.009559584
1782916327.159880,0.000000000,0.174743675,0.750233652,0.926290004,-0.085146978,0.579954026,-256.355479598,3.043477474,376.500000000,387.500000000,4225.806281939,380.000000000,0.000000000,9155.552842799,393.000000000,388.000000000,-0.684808801,1.272627489,-4.979629985,0.000000000
1782916327.169735,0.000000000,0.174759970,0.750309773,0.926289899,-0.085146997,0.579954026,-256.355479598,3.043477474,376.500000000,387.500000000,4225.806281939,380.000000000,0.000000000,9155.552842799,326.000000000,349.000000000,-0.684808801,1.272651808,-4.979629985,0.000000000
1782916327.179744,0.000000000,0.174777138,0.750389961,0.926289795,-0.085109018,0.579983868,-256.355479598,3.043715749,376.500000000,387.500000000,4225.806281939,380.000000000,0.000000000,9155.552842799,384.000000000,391.000000000,-0.684712927,1.272675650,-4.979496368,0.009578256
1782916327.189771,0.000000000,0.174760268,0.750311165,0.926289899,-0.085137498,0.579961487,-256.355479598,3.043537046,376.500000000,387.500000000,4225.995969578,380.000000000,0.000000000,9155.552842799,385.000000000,402.000000000,-0.684784832,1.272651808,-4.979596580,-0.007171054
1782916327.199806,0.000000000,0.174775946,0.750384394,0.926289795,-0.085147015,0.579954026,-256.355479598,3.043477474,376.500000000,387.500000000,4225.853704726,380.000000000,0.000000000,9155.552842799,333.000000000,348.000000000,-0.684808801,1.272675650,-4.979629985,-0.002388531
1782916327.210061,0.000000000,0.174775946,0.750384394,0.926289795,-0.085147015,0.579954026,-256.355479598,3.043477474,378.000000000,387.500000000,4225.806281939,380.000000000,0.000000000,9155.552842799,387.000000000,388.000000000,-0.684808801,1.272675650,-4.979629985,0.000000000
