__time,/debug/f,/debug/fc,/debug/lw,/debug/median_pb,/debug/median_pr,/debug/offset_pb,/debug/offset_pr,/debug/pb,/debug/pr,/debug/raw_pb,/debug/raw_pr,/debug/theta_g,/debug/theta_i,/debug/theta_t,/debug/w
1782988494.197721,0.360618355,188474.990081484,3.061093164,4132.500000000,389.500000000,0.000000000,0.000000000,5044709.616382336,475478.377636036,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034490585,2263.372329746
1782988494.207510,0.360631772,188511.612292856,3.061152213,4135.000000000,392.000000000,0.000000000,0.000000000,5047761.467329935,478530.228583636,0.000000000,0.000000000,0.007550062,-175.345201685,-0.034490585,2263.852679350
1782988494.217478,0.360618355,188474.990081484,3.061093164,4132.500000000,389.500000000,0.000000000,0.000000000,5044709.616382336,475478.377636036,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034538746,2263.372329746
1782988494.227389,0.360591519,188474.990081484,3.060975057,4132.500000000,389.500000000,0.000000000,0.000000000,5044709.616382336,475478.377636036,0.000000000,0.000000000,0.007478157,-175.345275451,-0.034514427,2263.291220052
1782988494.237549,0.360578100,188474.990081484,3.060916001,4132.500000000,389.500000000,0.000000000,0.000000000,5044709.616382336,475478.377636036,0.000000000,0.000000000,0.007454188,-175.345300040,-0.034562588,2263.250661362
1782988494.247648,0.360591519,188511.612292856,3.060975057,4135.000000000,392.000000000,0.000000000,0.000000000,5047761.467329935,478530.228583636,0.000000000,0.000000000,0.007478157,-175.345275451,-0.034466743,2263.730995798
1782988494.257566,0.360618355,188621.478926969,3.061093164,4135.500000000,389.500000000,0.000000000,0.000000000,5048371.837519456,475478.377636036,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034466743,2265.131495773
1782988494.267626,0.360618355,188560.441908017,3.061093164,4132.500000000,387.000000000,0.000000000,0.000000000,5044709.616382336,472426.526688437,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034466743,2264.398509928
1782988494.277372,0.360618355,188621.478926969,3.061093164,4135.500000000,389.500000000,0.000000000,0.000000000,5048371.837519456,475478.377636036,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034514427,2265.131495773
1782988494.287487,0.360578100,188560.441908017,3.060916001,4132.500000000,387.000000000,0.000000000,0.000000000,5044709.616382336,472426.526688437,0.000000000,0.000000000,0.007454188,-175.345300040,-0.034538746,2264.276786382
1782988494.297413,0.360578100,188474.990081484,3.060916001,4132.500000000,389.500000000,0.000000000,0.000000000,5044709.616382336,475478.377636036,0.000000000,0.000000000,0.007454188,-175.345300040,-0.034490585,2263.250661362
1782988494.307398,0.360591519,188594.622638630,3.060975057,4132.500000000,386.000000000,0.000000000,0.000000000,5044709.616382336,471205.786309397,0.000000000,0.000000000,0.007478157,-175.345275451,-0.034466743,2264.727820824
1782988494.317384,0.360604937,188594.622638630,3.061034111,4132.500000000,386.000000000,0.000000000,0.000000000,5044709.616382336,471205.786309397,0.000000000,0.000000000,0.007502125,-175.345250862,-0.034442902,2264.768402694
1782988494.327435,0.360618355,188665.425580615,3.061093164,4135.000000000,387.500000000,0.000000000,0.000000000,5047761.467329935,473036.896877956,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034538746,2265.659245581
1782988494.337440,0.360618355,188594.622638630,3.061093164,4132.500000000,386.000000000,0.000000000,0.000000000,5044709.616382336,471205.786309397,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034538746,2264.808982001
1782988494.347457,0.360578100,188594.622638630,3.060916001,4132.500000000,386.000000000,0.000000000,0.000000000,5044709.616382336,471205.786309397,0.000000000,0.000000000,0.007454188,-175.345300040,-0.034538746,2264.687236390
1782988494.357411,0.360578100,188665.425580615,3.060916001,4135.000000000,387.500000000,0.000000000,0.000000000,5047761.467329935,473036.896877956,0.000000000,0.000000000,0.007454188,-175.345300040,-0.034514427,2265.537454264
1782988494.367359,0.360591519,188594.622638630,3.060975057,4132.500000000,386.000000000,0.000000000,0.000000000,5044709.616382336,471205.786309397,0.000000000,0.000000000,0.007478157,-175.345275451,-0.034490585,2264.727820824
1782988494.377431,0.360618355,188594.622638630,3.061093164,4132.500000000,386.000000000,0.000000000,0.000000000,5044709.616382336,471205.786309397,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034538746,2264.808982001
1782988494.387543,0.360618355,188360.240485855,3.061093164,4127.000000000,385.000000000,0.000000000,0.000000000,5037995.544297617,469985.045930357,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034538746,2261.994316358
1782988494.397388,0.360618355,188594.622638630,3.061093164,4132.500000000,386.000000000,0.000000000,0.000000000,5044709.616382336,471205.786309397,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034562588,2264.808982001
1782988494.407428,0.360578100,188692.281868954,3.060916001,4134.500000000,386.000000000,0.000000000,0.000000000,5047151.097140416,471205.786309397,0.000000000,0.000000000,0.007454188,-175.345300040,-0.034514427,2265.859950698
1782988494.417385,0.360578100,188594.622638630,3.060916001,4132.500000000,386.000000000,0.000000000,0.000000000,5044709.616382336,471205.786309397,0.000000000,0.000000000,0.007454188,-175.345300040,-0.034490585,2264.687236390
1782988494.427413,0.360591519,188628.803369243,3.060975057,4132.500000000,385.000000000,0.000000000,0.000000000,5044709.616382336,469985.045930357,0.000000000,0.000000000,0.007478157,-175.345275451,-0.034490585,2265.138278187
1782988494.437400,0.360604937,188628.803369243,3.061034111,4132.500000000,385.000000000,0.000000000,0.000000000,5044709.616382336,469985.045930357,0.000000000,0.000000000,0.007502125,-175.345250862,-0.034490585,2265.178867412
1782988494.447384,0.360618355,188692.281868954,3.061093164,4134.500000000,386.000000000,0.000000000,0.000000000,5047151.097140416,471205.786309397,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034514427,2265.981759353
1782988494.457408,0.360618355,188594.622638630,3.061093164,4132.500000000,386.000000000,0.000000000,0.000000000,5044709.616382336,471205.786309397,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034538746,2264.808982001
1782988494.467395,0.360578100,188692.281868954,3.060916001,4134.500000000,386.000000000,0.000000000,0.000000000,5047151.097140416,471205.786309397,0.000000000,0.000000000,0.007454188,-175.345300040,-0.034514427,2265.859950698
1782988494.477441,0.360591519,188689.840388195,3.060975057,4135.500000000,387.500000000,0.000000000,0.000000000,5048371.837519456,473036.896877956,0.000000000,0.000000000,0.007478157,-175.345275451,-0.034490585,2265.871237764
1782988494.487527,0.360591519,188689.840388195,3.060975057,4135.500000000,387.500000000,0.000000000,0.000000000,5048371.837519456,473036.896877956,0.000000000,0.000000000,0.007478157,-175.345275451,-0.034514427,2265.871237764
1782988494.497491,0.360604937,188692.281868954,3.061034111,4134.500000000,386.000000000,0.000000000,0.000000000,5047151.097140416,471205.786309397,0.000000000,0.000000000,0.007502125,-175.345250862,-0.034538746,2265.941159032
1782988494.507435,0.360618355,188692.281868954,3.061093164,4134.500000000,386.000000000,0.000000000,0.000000000,5047151.097140416,471205.786309397,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034514427,2265.981759353
1782988494.517569,0.360618355,188594.622638630,3.061093164,4132.500000000,386.000000000,0.000000000,0.000000000,5044709.616382336,471205.786309397,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034562588,2264.808982001
1782988494.527401,0.360591519,188594.622638630,3.060975057,4132.500000000,386.000000000,0.000000000,0.000000000,5044709.616382336,471205.786309397,0.000000000,0.000000000,0.007478157,-175.345275451,-0.034538746,2264.727820824
1782988494.537400,0.360578100,188594.622638630,3.060916001,4132.500000000,386.000000000,0.000000000,0.000000000,5044709.616382336,471205.786309397,0.000000000,0.000000000,0.007454188,-175.345300040,-0.034514427,2264.687236390
1782988494.547387,0.360591519,188543.351542711,3.060975057,4132.500000000,387.500000000,0.000000000,0.000000000,5044709.616382336,473036.896877956,0.000000000,0.000000000,0.007478157,-175.345275451,-0.034538746,2264.112134778
1782988494.557424,0.360604937,188543.351542711,3.061034111,4132.500000000,387.500000000,0.000000000,0.000000000,5044709.616382336,473036.896877956,0.000000000,0.000000000,0.007502125,-175.345250862,-0.034538746,2264.152705616
1782988494.567415,0.360618355,188543.351542711,3.061093164,4132.500000000,387.500000000,0.000000000,0.000000000,5044709.616382336,473036.896877956,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034538746,2264.193273892
1782988494.577416,0.360618355,188526.261177404,3.061093164,4132.500000000,388.000000000,0.000000000,0.000000000,5044709.616382336,473647.267067476,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034514427,2263.988037856
1782988494.587439,0.360578100,188509.170812098,3.060916001,4132.500000000,388.500000000,0.000000000,0.000000000,5044709.616382336,474257.637256996,0.000000000,0.000000000,0.007454188,-175.345300040,-0.034514427,2263.661111370
1782988494.597481,0.360578100,188509.170812098,3.060916001,4132.500000000,388.500000000,0.000000000,0.000000000,5044709.616382336,474257.637256996,0.000000000,0.000000000,0.007454188,-175.345300040,-0.034466743,2263.661111370
1782988494.607406,0.360604937,188606.830042421,3.061034111,4134.500000000,388.500000000,0.000000000,0.000000000,5047151.097140416,474257.637256996,0.000000000,0.000000000,0.007502125,-175.345250862,-0.034490585,2264.914997236
1782988494.617390,0.360618355,188606.830042421,3.061093164,4134.500000000,388.500000000,0.000000000,0.000000000,5047151.097140416,474257.637256996,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034490585,2264.955579170
1782988494.627407,0.360618355,188533.585619678,3.061093164,4133.000000000,388.500000000,0.000000000,0.000000000,5045319.986571856,474257.637256996,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034538746,2264.075996157
1782988494.637406,0.360618355,188516.495254372,3.061093164,4133.000000000,389.000000000,0.000000000,0.000000000,5045319.986571856,474868.007446516,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034514427,2263.870760120
1782988494.647342,0.360578100,188516.495254372,3.060916001,4133.000000000,389.000000000,0.000000000,0.000000000,5045319.986571856,474868.007446516,0.000000000,0.000000000,0.007454188,-175.345300040,-0.034514427,2263.749064943
1782988494.657404,0.360578100,188482.314523759,3.060916001,4133.000000000,390.000000000,0.000000000,0.000000000,5045319.986571856,476088.747825556,0.000000000,0.000000000,0.007454188,-175.345300040,-0.034514427,2263.338614936
1782988494.667364,0.360591519,188443.250831629,3.060975057,4131.500000000,389.000000000,0.000000000,0.000000000,5043488.876003296,474868.007446516,0.000000000,0.000000000,0.007478157,-175.345275451,-0.034514427,2262.910081071
1782988494.677411,0.360618355,188443.250831629,3.061093164,4131.500000000,389.000000000,0.000000000,0.000000000,5043488.876003296,474868.007446516,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034562588,2262.991177107
1782988494.687443,0.360618355,188443.250831629,3.061093164,4131.500000000,389.000000000,0.000000000,0.000000000,5043488.876003296,474868.007446516,0.000000000,0.000000000,0.007526094,-175.345226273,-0.034562588,2262.991177107
1782988494.697371,0.360604937,188443.250831629,3.061034111,4131.500000000,389.000000000,0.000000000,0.000000000,5043488.876003296,474868.007446516,0.000000000,0.000000000,0.007502125,-175.345250862,-0.034562588,2262.950630370
