__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset
1782547989.050885,,,,428.000000000,465.000000000,0.000000000
1782547989.050942,0.002612561,0.029361352,0.000000000,,,
1782547989.055691,,,,337.000000000,415.000000000,0.000000000
1782547989.055706,0.002444782,0.028570393,0.000000000,,,
1782547989.060674,,,,449.000000000,502.000000000,0.000000000
1782547989.060691,0.002372877,0.028019119,0.000000000,,,
1782547989.065850,,,,333.000000000,384.000000000,0.000000000
1782547989.065888,0.002229066,0.027467845,0.000000000,,,
1782547989.070917,,,,516.000000000,532.000000000,0.000000000
1782547989.070987,0.002133192,0.026652917,0.000000000,,,
1782547989.075924,,,,299.000000000,379.000000000,0.000000000
1782547989.075961,0.002085255,0.026077675,0.000000000,,,
1782547989.080628,,,,345.000000000,404.000000000,0.000000000
1782547989.080644,0.001893508,0.025526401,0.000000000,,,
1782547989.085711,,,,449.000000000,488.000000000,0.000000000
1782547989.085724,0.001845571,0.024759410,0.000000000,,,
1782547989.090825,,,,385.000000000,493.000000000,0.000000000
1782547989.090863,0.001725728,0.024184167,0.000000000,,,
1782547989.095660,,,,395.000000000,463.000000000,0.000000000
1782547989.095674,0.001629855,0.023393208,0.000000000,,,
1782547989.100645,,,,440.000000000,513.000000000,0.000000000
1782547989.100657,0.001533981,0.022841934,0.000000000,,,
1782547989.105833,,,,402.000000000,466.000000000,0.000000000
1782547989.105873,0.001462076,0.022266690,0.000000000,,,
1782547989.110790,,,,422.000000000,516.000000000,0.000000000
1782547989.110802,0.001438107,0.021595573,0.000000000,,,
1782547989.115964,,,,368.000000000,449.000000000,0.000000000
1782547989.116017,0.001414139,0.021044299,0.000000000,,,
1782547989.120694,,,,318.000000000,410.000000000,0.000000000
1782547989.120728,0.001366202,0.020445088,0.000000000,,,
1782547989.125690,,,,451.000000000,544.000000000,0.000000000
1782547989.125703,0.001390170,0.019726034,0.000000000,,,
1782547989.130562,,,,293.000000000,387.000000000,0.000000000
1782547989.130581,0.001390170,0.019198729,0.000000000,,,
1782547989.135699,,,,328.000000000,410.000000000,0.000000000
1782547989.135725,0.001366202,0.018431738,0.000000000,,,
1782547989.140616,,,,434.000000000,525.000000000,0.000000000
1782547989.140631,0.001342233,0.017904432,0.000000000,,,
1782547989.145901,,,,404.000000000,533.000000000,0.000000000
1782547989.145960,0.001366202,0.017377127,0.000000000,,,
1782547989.150529,,,,365.000000000,465.000000000,0.000000000
1782547989.150542,0.001318265,0.016658073,0.000000000,,,
1782547989.155673,,,,446.000000000,555.000000000,0.000000000
1782547989.155694,0.001342233,0.016154736,0.000000000,,,
1782547989.160987,0.001366202,0.015651397,0.000000000,,,
